Freq.	V(vo)
1.00000000000000e+002	(-1.76980118861839e-001dB,9.13699882644089e+000°)
1.02329299228075e+002	(-1.72527053057441e-001dB,8.93185427195824e+000°)
1.04712854805090e+002	(-1.68270407886083e-001dB,8.73119274818525e+000°)
1.07151930523761e+002	(-1.64201688973832e-001dB,8.53492435888460e+000°)
1.09647819614318e+002	(-1.60312754573429e-001dB,8.34296047591282e+000°)
1.12201845430196e+002	(-1.56595802208445e-001dB,8.15521375881973e+000°)
1.14815362149688e+002	(-1.53043355709503e-001dB,7.97159817113235e+000°)
1.17489755493953e+002	(-1.49648252641794e-001dB,7.79202899355195e+000°)
1.20226443461741e+002	(-1.46403632121799e-001dB,7.61642283428228e+000°)
1.23026877081238e+002	(-1.43302923020062e-001dB,7.44469763669502e+000°)
1.25892541179417e+002	(-1.40339832545946e-001dB,7.27677268452754e+000°)
1.28824955169313e+002	(-1.37508335209328e-001dB,7.11256860479778e+000°)
1.31825673855641e+002	(-1.34802662153515e-001dB,6.95200736861044e+000°)
1.34896288259165e+002	(-1.32217290853111e-001dB,6.79501229001938e+000°)
1.38038426460288e+002	(-1.29746935169857e-001dB,6.64150802310055e+000°)
1.41253754462275e+002	(-1.27386535759119e-001dB,6.49142055738224e+000°)
1.44543977074593e+002	(-1.25131250819363e-001dB,6.34467721176920e+000°)
1.47910838816821e+002	(-1.22976447176497e-001dB,6.20120662708996e+000°)
1.51356124843621e+002	(-1.20917691694953e-001dB,6.06093875738843e+000°)
1.54881661891248e+002	(-1.18950743006904e-001dB,5.92380486007284e+000°)
1.58489319246111e+002	(-1.17071543551173e-001dB,5.78973748502891e+000°)
1.62181009735893e+002	(-1.15276211913094e-001dB,5.65867046279626e+000°)
1.65958690743756e+002	(-1.13561035456674e-001dB,5.53053889190129e+000°)
1.69824365246174e+002	(-1.11922463240257e-001dB,5.40527912543350e+000°)
1.73780082874937e+002	(-1.10357099207132e-001dB,5.28282875694608e+000°)
1.77827941003892e+002	(-1.08861695642292e-001dB,5.16312660575675e+000°)
1.81970085860998e+002	(-1.07433146886898e-001dB,5.04611270171878e+000°)
1.86208713666287e+002	(-1.06068483301968e-001dB,4.93172826952829e+000°)
1.90546071796324e+002	(-1.04764865472875e-001dB,4.81991571262823e+000°)
1.94984459975804e+002	(-1.03519578646590e-001dB,4.71061859676567e+000°)
1.99526231496888e+002	(-1.02330027393404e-001dB,4.60378163325553e+000°)
2.04173794466953e+002	(-1.01193730485460e-001dB,4.49935066199840e+000°)
2.08929613085404e+002	(-1.00108315984164e-001dB,4.39727263429785e+000°)
2.13796208950223e+002	(-9.90715165290431e-002dB,4.29749559551929e+000°)
2.18776162394955e+002	(-9.80811648206469e-002dB,4.19996866762799e+000°)
2.23872113856834e+002	(-9.71351892902525e-002dB,4.10464203164232e+000°)
2.29086765276777e+002	(-9.62316099494932e-002dB,4.01146691003440e+000°)
2.34422881531992e+002	(-9.53685344130083e-002dB,3.92039554910841e+000°)
2.39883291901949e+002	(-9.45441540875279e-002dB,3.83138120138401e+000°)
2.45470891568503e+002	(-9.37567405210741e-002dB,3.74437810801009e+000°)
2.51188643150958e+002	(-9.30046419059500e-002dB,3.65934148123170e+000°)
2.57039578276886e+002	(-9.22862797295469e-002dB,3.57622748693189e+000°)
2.63026799189538e+002	(-9.16001455671852e-002dB,3.49499322726694e+000°)
2.69153480392691e+002	(-9.09447980112666e-002dB,3.41559672341259e+000°)
2.75422870333816e+002	(-9.03188597314079e-002dB,3.33799689843760e+000°)
2.81838293126445e+002	(-8.97210146601661e-002dB,3.26215356031824e+000°)
2.88403150312660e+002	(-8.91500052993823e-002dB,3.18802738510709e+000°)
2.95120922666638e+002	(-8.86046301422328e-002dB,3.11557990026735e+000°)
3.01995172040201e+002	(-8.80837412061520e-002dB,3.04477346818341e+000°)
3.09029543251358e+002	(-8.75862416722472e-002dB,2.97557126985680e+000°)
3.16227766016837e+002	(-8.71110836267204e-002dB,2.90793728879490e+000°)
3.23593656929628e+002	(-8.66572659000328e-002dB,2.84183629510123e+000°)
3.31131121482590e+002	(-8.62238319998326e-002dB,2.77723382977167e+000°)
3.38844156139202e+002	(-8.58098681337207e-002dB,2.71409618920399e+000°)
3.46736850452531e+002	(-8.54145013180612e-002dB,2.65239040992317e+000°)
3.54813389233575e+002	(-8.50368975691810e-002dB,2.59208425352883e+000°)
3.63078054770101e+002	(-8.46762601736228e-002dB,2.53314619186584e+000°)
3.71535229097172e+002	(-8.43318280339409e-002dB,2.47554539242254e+000°)
3.80189396320560e+002	(-8.40028740869531e-002dB,2.41925170395745e+000°)
3.89045144994280e+002	(-8.36887037913033e-002dB,2.36423564235670e+000°)
3.98107170553496e+002	(-8.33886536814253e-002dB,2.31046837672286e+000°)
4.07380277804112e+002	(-8.31020899850056e-002dB,2.25792171569674e+000°)
4.16869383470335e+002	(-8.28284073012746e-002dB,2.20656809401069e+000°)
4.26579518801592e+002	(-8.25670273375150e-002dB,2.15638055927541e+000°)
4.36515832240165e+002	(-8.23173977012289e-002dB,2.10733275899793e+000°)
4.46683592150962e+002	(-8.20789907456056e-002dB,2.05939892783168e+000°)
4.57088189614874e+002	(-8.18513024659807e-002dB,2.01255387505578e+000°)
4.67735141287197e+002	(-8.16338514450376e-002dB,1.96677297228458e+000°)
4.78630092322637e+002	(-8.14261778447185e-002dB,1.92203214140329e+000°)
4.89778819368445e+002	(-8.12278424427304e-002dB,1.87830784273054e+000°)
5.01187233627271e+002	(-8.10384257117257e-002dB,1.83557706340368e+000°)
5.12861383991364e+002	(-8.08575269393286e-002dB,1.79381730598704e+000°)
5.24807460249771e+002	(-8.06847633871972e-002dB,1.75300657729834e+000°)
5.37031796370251e+002	(-8.05197694874332e-002dB,1.71312337745326e+000°)
5.49540873857623e+002	(-8.03621960746323e-002dB,1.67414668912469e+000°)
5.62341325190348e+002	(-8.02117096521563e-002dB,1.63605596701309e+000°)
5.75439937337155e+002	(-8.00679916909550e-002dB,1.59883112752746e+000°)
5.88843655355587e+002	(-7.99307379596447e-002dB,1.56245253867210e+000°)
6.02559586074356e+002	(-7.97996578843588e-002dB,1.52690101013783e+000°)
6.16595001861481e+002	(-7.96744739372008e-002dB,1.49215778359318e+000°)
6.30957344480192e+002	(-7.95549210518486e-002dB,1.45820452317502e+000°)
6.45654229034654e+002	(-7.94407460652647e-002dB,1.42502330617273e+000°)
6.60693448007594e+002	(-7.93317071843348e-002dB,1.39259661390523e+000°)
6.76082975391980e+002	(-7.92275734762354e-002dB,1.36090732278649e+000°)
6.91830970918935e+002	(-7.91281243816022e-002dB,1.32993869557782e+000°)
7.07945784384136e+002	(-7.90331492494529e-002dB,1.29967437282144e+000°)
7.24435960074988e+002	(-7.89424468928063e-002dB,1.27009836445536e+000°)
7.41310241300916e+002	(-7.88558251642616e-002dB,1.24119504160412e+000°)
7.58577575029182e+002	(-7.87731005504711e-002dB,1.21294912854282e+000°)
7.76247116628690e+002	(-7.86940977847734e-002dB,1.18534569483272e+000°)
7.94328234724279e+002	(-7.86186494771770e-002dB,1.15837014762341e+000°)
8.12830516164097e+002	(-7.85465957608374e-002dB,1.13200822411971e+000°)
8.31763771102669e+002	(-7.84777839544453e-002dB,1.10624598420965e+000°)
8.51138038202374e+002	(-7.84120682396298e-002dB,1.08106980325185e+000°)
8.70963589956078e+002	(-7.83493093528679e-002dB,1.05646636501665e+000°)
8.91250938133743e+002	(-7.82893742911950e-002dB,1.03242265478137e+000°)
9.12010839355907e+002	(-7.82321360310427e-002dB,1.00892595257420e+000°)
9.33254300796988e+002	(-7.81774732597371e-002dB,9.85963826564832e-001°)
9.54992586021433e+002	(-7.81252701190126e-002dB,9.63524126598764e-001°)
9.77237220955808e+002	(-7.80754159599801e-002dB,9.41594977872909e-001°)
9.99999999999997e+002	(-7.80278051091404e-002dB,9.20164774749483e-001°)
1.02329299228075e+003	(-7.79823366448556e-002dB,8.99222174704414e-001°)
