Freq.	V(vo)
1.00000000000000e+001	(-1.25181902658315e+001dB,7.38495569967307e+001°)
1.00023028502082e+001	(-1.25164168962682e+001dB,7.38456177427969e+001°)
1.00046062307284e+001	(-1.25146436043387e+001dB,7.38416780326467e+001°)
1.00069101416826e+001	(-1.25128703900611e+001dB,7.38377378662430e+001°)
1.00092145831930e+001	(-1.25110972534532e+001dB,7.38337972435492e+001°)
1.00115195553817e+001	(-1.25093241945330e+001dB,7.38298561645284e+001°)
1.00138250583710e+001	(-1.25075512133185e+001dB,7.38259146291439e+001°)
1.00161310922831e+001	(-1.25057783098277e+001dB,7.38219726373586e+001°)
1.00184376572403e+001	(-1.25040054840784e+001dB,7.38180301891362e+001°)
1.00207447533648e+001	(-1.25022327360887e+001dB,7.38140872844396e+001°)
1.00230523807790e+001	(-1.25004600658765e+001dB,7.38101439232322e+001°)
1.00253605396052e+001	(-1.24986874734598e+001dB,7.38062001054772e+001°)
1.00276692299659e+001	(-1.24969149588566e+001dB,7.38022558311380e+001°)
1.00299784519833e+001	(-1.24951425220848e+001dB,7.37983111001780e+001°)
1.00322882057800e+001	(-1.24933701631623e+001dB,7.37943659125603e+001°)
1.00345984914784e+001	(-1.24915978821072e+001dB,7.37904202682487e+001°)
1.00369093092010e+001	(-1.24898256789374e+001dB,7.37864741672062e+001°)
1.00392206590702e+001	(-1.24880535536709e+001dB,7.37825276093965e+001°)
1.00415325412088e+001	(-1.24862815063257e+001dB,7.37785805947828e+001°)
1.00438449557391e+001	(-1.24845095369197e+001dB,7.37746331233288e+001°)
1.00461579027839e+001	(-1.24827376454710e+001dB,7.37706851949978e+001°)
1.00484713824658e+001	(-1.24809658319973e+001dB,7.37667368097535e+001°)
1.00507853949074e+001	(-1.24791940965169e+001dB,7.37627879675593e+001°)
1.00530999402313e+001	(-1.24774224390476e+001dB,7.37588386683787e+001°)
1.00554150185604e+001	(-1.24756508596074e+001dB,7.37548889121750e+001°)
1.00577306300174e+001	(-1.24738793582143e+001dB,7.37509386989125e+001°)
1.00600467747250e+001	(-1.24721079348862e+001dB,7.37469880285544e+001°)
1.00623634528060e+001	(-1.24703365896412e+001dB,7.37430369010641e+001°)
1.00646806643832e+001	(-1.24685653224972e+001dB,7.37390853164056e+001°)
1.00669984095796e+001	(-1.24667941334723e+001dB,7.37351332745425e+001°)
1.00693166885180e+001	(-1.24650230225843e+001dB,7.37311807754385e+001°)
1.00716355013213e+001	(-1.24632519898514e+001dB,7.37272278190572e+001°)
1.00739548481125e+001	(-1.24614810352914e+001dB,7.37232744053625e+001°)
1.00762747290145e+001	(-1.24597101589223e+001dB,7.37193205343178e+001°)
1.00785951441503e+001	(-1.24579393607622e+001dB,7.37153662058872e+001°)
