Freq.	V(vo)
1.00000000000000e+001	(-1.25281193577621e+001dB,7.38692879124743e+001°)
1.00230523807790e+001	(-1.25103821340944e+001dB,7.38298839604568e+001°)
1.00461579027840e+001	(-1.24926526783262e+001dB,7.37904342520796e+001°)
1.00693166885180e+001	(-1.24749310084800e+001dB,7.37509387502324e+001°)
1.00925288607668e+001	(-1.24572171425895e+001dB,7.37113974180129e+001°)
1.01157945425990e+001	(-1.24395110986998e+001dB,7.36718102187250e+001°)
1.01391138573668e+001	(-1.24218128948672e+001dB,7.36321771158802e+001°)
1.01624869287070e+001	(-1.24041225491592e+001dB,7.35924980731957e+001°)
1.01859138805412e+001	(-1.23864400796545e+001dB,7.35527730545930e+001°)
1.02093948370768e+001	(-1.23687655044428e+001dB,7.35130020241987e+001°)
1.02329299228075e+001	(-1.23510988416253e+001dB,7.34731849463429e+001°)
1.02565192625141e+001	(-1.23334401093139e+001dB,7.34333217855582e+001°)
1.02801629812647e+001	(-1.23157893256318e+001dB,7.33934125065802e+001°)
1.03038612044162e+001	(-1.22981465087132e+001dB,7.33534570743452e+001°)
1.03276140576140e+001	(-1.22805116767035e+001dB,7.33134554539902e+001°)
1.03514216667934e+001	(-1.22628848477588e+001dB,7.32734076108527e+001°)
1.03752841581801e+001	(-1.22452660400466e+001dB,7.32333135104690e+001°)
1.03992016582906e+001	(-1.22276552717451e+001dB,7.31931731185741e+001°)
1.04231742939330e+001	(-1.22100525610438e+001dB,7.31529864011007e+001°)
1.04472021922080e+001	(-1.21924579261429e+001dB,7.31127533241783e+001°)
1.04712854805090e+001	(-1.21748713852538e+001dB,7.30724738541328e+001°)
1.04954242865232e+001	(-1.21572929565988e+001dB,7.30321479574856e+001°)
1.05196187382322e+001	(-1.21397226584112e+001dB,7.29917756009528e+001°)
1.05438689639126e+001	(-1.21221605089353e+001dB,7.29513567514443e+001°)
1.05681750921366e+001	(-1.21046065264264e+001dB,7.29108913760638e+001°)
1.05925372517729e+001	(-1.20870607291509e+001dB,7.28703794421066e+001°)
1.06169555719872e+001	(-1.20695231353861e+001dB,7.28298209170603e+001°)
1.06414301822431e+001	(-1.20519937634203e+001dB,7.27892157686035e+001°)
1.06659612123026e+001	(-1.20344726315530e+001dB,7.27485639646046e+001°)
1.06905487922266e+001	(-1.20169597580947e+001dB,7.27078654731219e+001°)
1.07151930523761e+001	(-1.19994551613670e+001dB,7.26671202624018e+001°)
1.07398941234124e+001	(-1.19819588597024e+001dB,7.26263283008793e+001°)
1.07646521362983e+001	(-1.19644708714449e+001dB,7.25854895571760e+001°)
1.07894672222983e+001	(-1.19469912149493e+001dB,7.25446040001004e+001°)
1.08143395129794e+001	(-1.19295199085820e+001dB,7.25036715986460e+001°)
1.08392691402120e+001	(-1.19120569707201e+001dB,7.24626923219919e+001°)
1.08642562361706e+001	(-1.18946024197523e+001dB,7.24216661395013e+001°)
1.08893009333343e+001	(-1.18771562740786e+001dB,7.23805930207201e+001°)
1.09144033644875e+001	(-1.18597185521103e+001dB,7.23394729353775e+001°)
1.09395636627209e+001	(-1.18422892722698e+001dB,7.22983058533845e+001°)
1.09647819614318e+001	(-1.18248684529913e+001dB,7.22570917448331e+001°)
1.09900583943252e+001	(-1.18074561127203e+001dB,7.22158305799959e+001°)
1.10153930954141e+001	(-1.17900522699137e+001dB,7.21745223293249e+001°)
1.10407861990207e+001	(-1.17726569430402e+001dB,7.21331669634511e+001°)
