Freq.	-I(Rl)/I(I1)
1.00000000000000e+002	(-7.98174807387011e+000dB,-9.79620703066492e+001°)
1.00115195553817e+002	(-7.97194011529447e+000dB,-9.79711244752885e+001°)
1.00230523807790e+002	(-7.96213259089902e+000dB,-9.79801886727037e+001°)
1.00345984914784e+002	(-7.95232550164628e+000dB,-9.79892629090951e+001°)
1.00461579027840e+002	(-7.94251884850039e+000dB,-9.79983471946701e+001°)
1.00577306300174e+002	(-7.93271263242802e+000dB,-9.80074415396436e+001°)
1.00693166885180e+002	(-7.92290685439751e+000dB,-9.80165459542375e+001°)
1.00809160936430e+002	(-7.91310151537926e+000dB,-9.80256604486811e+001°)
1.00925288607668e+002	(-7.90329661634602e+000dB,-9.80347850332109e+001°)
1.01041550052821e+002	(-7.89349215827218e+000dB,-9.80439197180707e+001°)
1.01157945425990e+002	(-7.88368814213476e+000dB,-9.80530645135115e+001°)
1.01274474881453e+002	(-7.87388456891265e+000dB,-9.80622194297914e+001°)
1.01391138573668e+002	(-7.86408143958618e+000dB,-9.80713844771759e+001°)
1.01507936657269e+002	(-7.85427875513897e+000dB,-9.80805596659378e+001°)
1.01624869287070e+002	(-7.84447651655546e+000dB,-9.80897450063568e+001°)
1.01741936618061e+002	(-7.83467472482327e+000dB,-9.80989405087200e+001°)
1.01859138805412e+002	(-7.82487338093104e+000dB,-9.81081461833218e+001°)
1.01976476004472e+002	(-7.81507248587057e+000dB,-9.81173620404634e+001°)
1.02093948370768e+002	(-7.80527204063527e+000dB,-9.81265880904538e+001°)
1.02211556060007e+002	(-7.79547204622029e+000dB,-9.81358243436085e+001°)
1.02329299228076e+002	(-7.78567250362384e+000dB,-9.81450708102506e+001°)
1.02447178031038e+002	(-7.77587341384502e+000dB,-9.81543275007104e+001°)
1.02565192625141e+002	(-7.76607477788605e+000dB,-9.81635944253249e+001°)
1.02683343166809e+002	(-7.75627659675104e+000dB,-9.81728715944389e+001°)
1.02801629812648e+002	(-7.74647887144571e+000dB,-9.81821590184037e+001°)
1.02920052719443e+002	(-7.73668160297879e+000dB,-9.81914567075783e+001°)
1.03038612044162e+002	(-7.72688479235998e+000dB,-9.82007646723284e+001°)
1.03157307943951e+002	(-7.71708844060248e+000dB,-9.82100829230270e+001°)
1.03276140576140e+002	(-7.70729254872038e+000dB,-9.82194114700542e+001°)
1.03395110098237e+002	(-7.69749711773100e+000dB,-9.82287503237973e+001°)
1.03514216667935e+002	(-7.68770214865309e+000dB,-9.82380994946505e+001°)
1.03633460443104e+002	(-7.67790764250741e+000dB,-9.82474589930153e+001°)
1.03752841581801e+002	(-7.66811360031755e+000dB,-9.82568288293001e+001°)
1.03872360242262e+002	(-7.65832002310904e+000dB,-9.82662090139204e+001°)
1.03992016582906e+002	(-7.64852691190938e+000dB,-9.82755995572990e+001°)
1.04111810762334e+002	(-7.63873426774827e+000dB,-9.82850004698655e+001°)
1.04231742939331e+002	(-7.62894209165737e+000dB,-9.82944117620566e+001°)
1.04351813272863e+002	(-7.61915038467144e+000dB,-9.83038334443162e+001°)
1.04472021922080e+002	(-7.60935914782620e+000dB,-9.83132655270951e+001°)
1.04592369046317e+002	(-7.59956838216054e+000dB,-9.83227080208511e+001°)
1.04712854805090e+002	(-7.58977808871468e+000dB,-9.83321609360491e+001°)
1.04833479358100e+002	(-7.57998826853189e+000dB,-9.83416242831610e+001°)
1.04954242865233e+002	(-7.57019892265715e+000dB,-9.83510980726658e+001°)
1.05075145486555e+002	(-7.56041005213771e+000dB,-9.83605823150493e+001°)
1.05196187382323e+002	(-7.55062165802299e+000dB,-9.83700770208044e+001°)
1.05317368712972e+002	(-7.54083374136472e+000dB,-9.83795822004311e+001°)
1.05438689639126e+002	(-7.53104630321670e+000dB,-9.83890978644361e+001°)
1.05560150321593e+002	(-7.52125934463561e+000dB,-9.83986240233334e+001°)
1.05681750921366e+002	(-7.51147286667916e+000dB,-9.84081606876436e+001°)
1.05803491599623e+002	(-7.50168687040832e+000dB,-9.84177078678945e+001°)
1.05925372517729e+002	(-7.49190135688572e+000dB,-9.84272655746209e+001°)
1.06047393837234e+002	(-7.48211632717619e+000dB,-9.84368338183642e+001°)
1.06169555719873e+002	(-7.47233178234768e+000dB,-9.84464126096730e+001°)
1.06291858327569e+002	(-7.46254772346903e+000dB,-9.84560019591028e+001°)
1.06414301822432e+002	(-7.45276415161259e+000dB,-9.84656018772160e+001°)
1.06536886366757e+002	(-7.44298106785200e+000dB,-9.84752123745817e+001°)
1.06659612123026e+002	(-7.43319847326388e+000dB,-9.84848334617761e+001°)
1.06782479253910e+002	(-7.42341636892693e+000dB,-9.84944651493823e+001°)
1.06905487922266e+002	(-7.41363475592166e+000dB,-9.85041074479901e+001°)
1.07028638291139e+002	(-7.40385363533085e+000dB,-9.85137603681963e+001°)
1.07151930523761e+002	(-7.39407300824077e+000dB,-9.85234239206044e+001°)
1.07275364783553e+002	(-7.38429287573825e+000dB,-9.85330981158251e+001°)
1.07398941234125e+002	(-7.37451323891386e+000dB,-9.85427829644755e+001°)
1.07522660039273e+002	(-7.36473409885953e+000dB,-9.85524784771797e+001°)
1.07646521362984e+002	(-7.35495545666987e+000dB,-9.85621846645687e+001°)
1.07770525369433e+002	(-7.34517731344177e+000dB,-9.85719015372803e+001°)
1.07894672222983e+002	(-7.33539967027412e+000dB,-9.85816291059589e+001°)
1.08018962088190e+002	(-7.32562252826859e+000dB,-9.85913673812559e+001°)
1.08143395129794e+002	(-7.31584588852886e+000dB,-9.86011163738295e+001°)
1.08267971512730e+002	(-7.30606975216115e+000dB,-9.86108760943444e+001°)
1.08392691402121e+002	(-7.29629412027342e+000dB,-9.86206465534723e+001°)
1.08517554963279e+002	(-7.28651899397689e+000dB,-9.86304277618917e+001°)
1.08642562361707e+002	(-7.27674437438415e+000dB,-9.86402197302876e+001°)
1.08767713763100e+002	(-7.26697026261086e+000dB,-9.86500224693519e+001°)
1.08893009333344e+002	(-7.25719665977456e+000dB,-9.86598359897831e+001°)
