Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100,-0.001174254449641353,-46.42085137802452,167.6441464822597
101.8591388054117,-0.001074881570907893,-46.15967165057879,169.4149007194587
103.7528415818013,-0.001739948845161923,-45.48467297645253,166.5338302028163
105.6817509213658,-0.001693096693426314,-45.16735139356493,166.3597115610507
107.6465213629835,-0.001595643801617085,-45.14223697722915,169.2402270644997
109.6478196143185,-0.001305036793987474,-44.79613451513251,168.9628325991159
111.6863247780561,-0.001886565042555593,-44.19634826341054,169.0583126469591
113.7627285823431,-0.001700817207092939,-44.03796662831037,166.4771149740344
115.8777356155126,-0.001526079208722057,-43.65187828490991,166.4142587843872
118.032063565173,-0.001400402261925294,-43.45420851191923,167.1518744926171
120.2264434617413,-0.001446032133225888,-43.04612162724403,167.4501885539474
122.4616199265049,-0.001694484490174143,-42.76154042203855,166.6908745849474
124.7383514242943,-0.001575114985015574,-42.36065156208285,166.712724560433
127.0574105208542,-0.001265773864874366,-42.09478039724318,166.3925552726747
129.4195841449986,-0.001435838106159787,-41.75746541268335,166.1772499719634
131.8256738556407,-0.001414911821336728,-41.47318701957158,165.9406228016142
134.2764961137864,-0.001671590625686055,-41.15437814125496,165.8783495498396
136.7728825595849,-0.001417869585330622,-40.8126907807931,165.481450310946
139.3156802945304,-0.001823546907140085,-40.52763376100686,165.3886022847373
141.9057521689093,-0.001226991861210706,-40.21955087743211,165.1137754099968
144.5439770745928,-0.00158080279013113,-39.89796027247208,164.7055681246928
147.2312502432719,-0.001300274863623636,-39.60404945236083,164.5808452402451
149.9684835502374,-0.001522502997543841,-39.26549932462594,164.24519035649
152.7566058238073,-0.001294611824274725,-38.95946251057174,164.0529477284128
155.5965631605075,-0.001344906712620982,-38.64363578632629,163.8296161919225
158.4893192461114,-0.001351695266041346,-38.33842183881116,163.4937219960015
161.4358556826487,-0.001587111529654161,-38.02616113808941,163.3349709992467
164.4371723214932,-0.001076842051582427,-37.72892610925749,163.0499715742109
167.4942876026438,-0.001251021089219897,-37.39802827389942,162.6479849221041
170.6082389003124,-0.001765722394420996,-37.07399558081941,162.558366934554
173.7800828749376,-0.001223616081156792,-36.75539667318214,161.9801863291169
177.0108958317422,-0.00142975943509788,-36.49788665043054,161.4886517996922
180.301774085957,-0.00153924465748684,-36.21920123514803,161.2788223424191
183.6538343348347,-0.001203510379996203,-35.78666090448481,161.3815928148676
187.0682140365801,-0.001945227426126966,-35.48508527054086,161.2079201410514
190.5460717963248,-0.0015555834468245,-35.1932579191686,160.9813924450623
194.0885877592777,-0.001677086785992303,-34.91300536398671,160.7860682875577
197.696964011186,-0.001840060844063538,-34.59277737781279,159.595878853791
201.3724249862388,-0.001757343993711601,-34.2432966642283,159.5478495253079
205.1162178825565,-0.001627728416117807,-34.06073216116302,159.0091691261771
208.9296130854039,-0.001395060281008388,-33.68344880363754,158.6469298073455
212.8139045982711,-0.001891016183441083,-33.45055379102042,158.7513528703878
216.7704104819694,-0.001862296905703499,-33.13152942393859,158.1611379358452
220.8004733018899,-0.001952793334613109,-32.78187840737818,158.2612545082486
224.905460583578,-0.00146396500822385,-32.50438790631686,157.5961781327991
229.0867652767772,-0.001741023279975519,-32.18030549551932,157.3819255093157
233.3458062281002,-0.001236755322296755,-31.84576151443433,156.6580552623064
237.6840286624876,-0.001514772761646727,-31.5607094660454,156.3034701539526
242.1029046736178,-0.001350808627648524,-31.24575023953826,156.1501722650032
