req.	V(Vout)/V(n002)
1.00000000000000e+002	(-1.89175574603022e+000dB,3.55681805868780e+001°)
1.00115195553817e+002	(-1.88837490740767e+000dB,3.55369757430223e+001°)
1.00230523807790e+002	(-1.88499921965979e+000dB,3.55057825494639e+001°)
1.00345984914784e+002	(-1.88162867893507e+000dB,3.54746010388216e+001°)
1.00461579027840e+002	(-1.87826328137249e+000dB,3.54434312436467e+001°)
1.00577306300174e+002	(-1.87490302310206e+000dB,3.54122731964229e+001°)
1.00693166885180e+002	(-1.87154790024446e+000dB,3.53811269295657e+001°)
1.00809160936430e+002	(-1.86819790891096e+000dB,3.53499924754230e+001°)
1.00925288607668e+002	(-1.86485304520393e+000dB,3.53188698662743e+001°)
1.01041550052821e+002	(-1.86151330521641e+000dB,3.52877591343313e+001°)
1.01157945425990e+002	(-1.85817868503263e+000dB,3.52566603117369e+001°)
1.01274474881453e+002	(-1.85484918072728e+000dB,3.52255734305658e+001°)
1.01391138573668e+002	(-1.85152478836640e+000dB,3.51944985228242e+001°)
1.01507936657269e+002	(-1.84820550400692e+000dB,3.51634356204494e+001°)
1.01624869287070e+002	(-1.84489132369673e+000dB,3.51323847553100e+001°)
1.01741936618061e+002	(-1.84158224347490e+000dB,3.51013459592058e+001°)
1.01859138805412e+002	(-1.83827825937146e+000dB,3.50703192638673e+001°)
1.01976476004472e+002	(-1.83497936740783e+000dB,3.50393047009559e+001°)
1.02093948370768e+002	(-1.83168556359620e+000dB,3.50083023020640e+001°)
1.02211556060007e+002	(-1.82839684394044e+000dB,3.49773120987143e+001°)
1.02329299228076e+002	(-1.82511320443539e+000dB,3.49463341223600e+001°)
1.02447178031038e+002	(-1.82183464106727e+000dB,3.49153684043851e+001°)
1.02565192625141e+002	(-1.81856114981344e+000dB,3.48844149761034e+001°)
1.02683343166809e+002	(-1.81529272664282e+000dB,3.48534738687590e+001°)
1.02801629812648e+002	(-1.81202936751553e+000dB,3.48225451135263e+001°)
1.02920052719443e+002	(-1.80877106838337e+000dB,3.47916287415094e+001°)
1.03038612044162e+002	(-1.80551782518923e+000dB,3.47607247837423e+001°)
1.03157307943951e+002	(-1.80226963386783e+000dB,3.47298332711888e+001°)
1.03276140576140e+002	(-1.79902649034539e+000dB,3.46989542347423e+001°)
1.03395110098237e+002	(-1.79578839053924e+000dB,3.46680877052257e+001°)
1.03514216667935e+002	(-1.79255533035904e+000dB,3.46372337133914e+001°)
1.03633460443104e+002	(-1.78932730570537e+000dB,3.46063922899211e+001°)
1.03752841581801e+002	(-1.78610431247101e+000dB,3.45755634654256e+001°)
1.03872360242262e+002	(-1.78288634654015e+000dB,3.45447472704451e+001°)
1.03992016582906e+002	(-1.77967340378870e+000dB,3.45139437354485e+001°)
1.04111810762334e+002	(-1.77646548008459e+000dB,3.44831528908339e+001°)
1.04231742939331e+002	(-1.77326257128732e+000dB,3.44523747669281e+001°)
1.04351813272863e+002	(-1.77006467324827e+000dB,3.44216093939865e+001°)
1.04472021922080e+002	(-1.76687178181091e+000dB,3.43908568021933e+001°)
1.04592369046317e+002	(-1.76368389281028e+000dB,3.43601170216613e+001°)
1.04712854805090e+002	(-1.76050100207361e+000dB,3.43293900824315e+001°)
1.04833479358100e+002	(-1.75732310542016e+000dB,3.42986760144735e+001°)
1.04954242865233e+002	(-1.75415019866100e+000dB,3.42679748476850e+001°)
1.05075145486555e+002	(-1.75098227759931e+000dB,3.42372866118918e+001°)
1.05196187382323e+002	(-1.74781933803053e+000dB,3.42066113368481e+001°)
1.05317368712972e+002	(-1.74466137574208e+000dB,3.41759490522356e+001°)
1.05438689639126e+002	(-1.74150838651358e+000dB,3.41452997876643e+001°)
1.05560150321593e+002	(-1.73836036611688e+000dB,3.41146635726718e+001°)
1.05681750921366e+002	(-1.73521731031590e+000dB,3.40840404367234e+001°)
1.05803491599623e+002	(-1.73207921486706e+000dB,3.40534304092122e+001°)
1.05925372517729e+002	(-1.72894607551898e+000dB,3.40228335194587e+001°)
1.06047393837234e+002	(-1.72581788801272e+000dB,3.39922497967109e+001°)
1.06169555719873e+002	(-1.72269464808139e+000dB,3.39616792701442e+001°)
1.06291858327569e+002	(-1.71957635145103e+000dB,3.39311219688611e+001°)
1.06414301822432e+002	(-1.71646299383954e+000dB,3.39005779218916e+001°)
1.06536886366757e+002	(-1.71335457095789e+000dB,3.38700471581927e+001°)
1.06659612123026e+002	(-1.71025107850920e+000dB,3.38395297066484e+001°)
1.06782479253910e+002	(-1.70715251218921e+000dB,3.38090255960697e+001°)
1.06905487922266e+002	(-1.70405886768626e+000dB,3.37785348551946e+001°)
1.07028638291139e+002	(-1.70097014068141e+000dB,3.37480575126877e+001°)
1.07151930523761e+002	(-1.69788632684831e+000dB,3.37175935971404e+001°)
1.07275364783553e+002	(-1.69480742185326e+000dB,3.36871431370710e+001°)
1.07398941234125e+002	(-1.69173342135538e+000dB,3.36567061609239e+001°)
1.07522660039273e+002	(-1.68866432100650e+000dB,3.36262826970705e+001°)
1.07646521362984e+002	(-1.68560011645143e+000dB,3.35958727738084e+001°)
1.07770525369433e+002	(-1.68254080332740e+000dB,3.35654764193616e+001°)
1.07894672222983e+002	(-1.67948637726511e+000dB,3.35350936618802e+001°)
1.08018962088190e+002	(-1.67643683388760e+000dB,3.35047245294409e+001°)
1.08143395129794e+002	(-1.67339216881127e+000dB,3.34743690500463e+001°)
1.08267971512730e+002	(-1.67035237764536e+000dB,3.34440272516251e+001°)
1.08392691402121e+002	(-1.66731745599210e+000dB,3.34136991620320e+001°)
