Freq.	V(vout)/V(vin)
1.00000000000000e+002	(-2.83526573278746e+000dB,4.83803668269360e+001°)
1.00115195553817e+002	(-2.83139363266882e+000dB,4.83349057402080e+001°)
1.00230523807790e+002	(-2.82752775782005e+000dB,4.82894710977771e+001°)
1.00345984914784e+002	(-2.82366810215871e+000dB,4.82440629204035e+001°)
1.00461579027840e+002	(-2.81981465960188e+000dB,4.81986812288288e+001°)
1.00577306300174e+002	(-2.81596742406131e+000dB,4.81533260437205e+001°)
1.00693166885180e+002	(-2.81212638943467e+000dB,4.81079973855826e+001°)
1.00809160936430e+002	(-2.80829154962633e+000dB,4.80626952749758e+001°)
1.00925288607668e+002	(-2.80446289852790e+000dB,4.80174197323072e+001°)
1.01041550052821e+002	(-2.80064043002478e+000dB,4.79721707779036e+001°)
1.01157945425990e+002	(-2.79682413800832e+000dB,4.79269484321335e+001°)
1.01274474881453e+002	(-2.79301401635200e+000dB,4.78817527151652e+001°)
1.01391138573668e+002	(-2.78921005892856e+000dB,4.78365836471372e+001°)
1.01507936657269e+002	(-2.78541225961121e+000dB,4.77914412481746e+001°)
1.01624869287070e+002	(-2.78162061226286e+000dB,4.77463255382771e+001°)
1.01741936618061e+002	(-2.77783511073879e+000dB,4.77012365373438e+001°)
1.01859138805412e+002	(-2.77405574889649e+000dB,4.76561742652781e+001°)
1.01976476004472e+002	(-2.77028252058461e+000dB,4.76111387418679e+001°)
1.02093948370768e+002	(-2.76651541964386e+000dB,4.75661299868026e+001°)
1.02211556060007e+002	(-2.76275443991963e+000dB,4.75211480197934e+001°)
1.02329299228076e+002	(-2.75899957524744e+000dB,4.74761928604301e+001°)
1.02447178031038e+002	(-2.75525081945187e+000dB,4.74312645281656e+001°)
1.02565192625141e+002	(-2.75150816636100e+000dB,4.73863630424687e+001°)
1.02683343166809e+002	(-2.74777160979614e+000dB,4.73414884227123e+001°)
1.02801629812648e+002	(-2.74404114357456e+000dB,4.72966406882066e+001°)
1.02920052719443e+002	(-2.74031676150626e+000dB,4.72518198581593e+001°)
1.03038612044162e+002	(-2.73659845740104e+000dB,4.72070259517563e+001°)
1.03157307943951e+002	(-2.73288622505560e+000dB,4.71622589880190e+001°)
1.03276140576140e+002	(-2.72918005827533e+000dB,4.71175189860351e+001°)
1.03395110098237e+002	(-2.72547995084817e+000dB,4.70728059646900e+001°)
1.03514216667935e+002	(-2.72178589656557e+000dB,4.70281199428728e+001°)
1.03633460443104e+002	(-2.71809788921514e+000dB,4.69834609394141e+001°)
1.03752841581801e+002	(-2.71441592257054e+000dB,4.69388289729678e+001°)
1.03872360242262e+002	(-2.71073999041285e+000dB,4.68942240622411e+001°)
1.03992016582906e+002	(-2.70707008651489e+000dB,4.68496462258290e+001°)
1.04111810762334e+002	(-2.70340620463868e+000dB,4.68050954821837e+001°)
1.04231742939331e+002	(-2.69974833855084e+000dB,4.67605718497807e+001°)
1.04351813272863e+002	(-2.69609648201095e+000dB,4.67160753469933e+001°)
1.04472021922080e+002	(-2.69245062877251e+000dB,4.66716059921012e+001°)
1.04592369046317e+002	(-2.68881077258477e+000dB,4.66271638033150e+001°)
1.04712854805090e+002	(-2.68517690719726e+000dB,4.65827487988154e+001°)
1.04833479358100e+002	(-2.68154902634747e+000dB,4.65383609966295e+001°)
