Freq.	V(vout)/I(I1)
1.00000000000000e+002	(7.42835189667979e+001dB,3.55660364467675e+001°)
1.00115195553817e+002	(7.42868996112290e+001dB,3.55348309263735e+001°)
1.00230523807790e+002	(7.42902751049304e+001dB,3.55036370562230e+001°)
1.00345984914784e+002	(7.42936454517539e+001dB,3.54724548689306e+001°)
1.00461579027840e+002	(7.42970106555610e+001dB,3.54412843970437e+001°)
1.00577306300174e+002	(7.43003707202219e+001dB,3.54101256730418e+001°)
1.00693166885180e+002	(7.43037256496163e+001dB,3.53789787293365e+001°)
1.00809160936430e+002	(7.43070754476335e+001dB,3.53478435982715e+001°)
1.00925288607668e+002	(7.43104201181711e+001dB,3.53167203121225e+001°)
1.01041550052821e+002	(7.43137596651367e+001dB,3.52856089030968e+001°)
1.01157945425990e+002	(7.43170940924463e+001dB,3.52545094033335e+001°)
1.01274474881453e+002	(7.43204234040255e+001dB,3.52234218449032e+001°)
1.01391138573668e+002	(7.43237476038089e+001dB,3.51923462598078e+001°)
1.01507936657269e+002	(7.43270666957393e+001dB,3.51612826799808e+001°)
1.01624869287070e+002	(7.43303806837698e+001dB,3.51302311372865e+001°)
1.01741936618061e+002	(7.43336895718612e+001dB,3.50991916635206e+001°)
1.01859138805412e+002	(7.43369933639841e+001dB,3.50681642904096e+001°)
1.01976476004472e+002	(7.43402920641174e+001dB,3.50371490496108e+001°)
1.02093948370768e+002	(7.43435856762489e+001dB,3.50061459727124e+001°)
1.02211556060007e+002	(7.43468742043756e+001dB,3.49751550912329e+001°)
1.02329299228076e+002	(7.43501576525024e+001dB,3.49441764366217e+001°)
1.02447178031038e+002	(7.43534360246439e+001dB,3.49132100402583e+001°)
1.02565192625141e+002	(7.43567093248228e+001dB,3.48822559334525e+001°)
1.02683343166809e+002	(7.43599775570705e+001dB,3.48513141474443e+001°)
1.02801629812648e+002	(7.43632407254275e+001dB,3.48203847134038e+001°)
1.02920052719443e+002	(7.43664988339417e+001dB,3.47894676624312e+001°)
1.03038612044162e+002	(7.43697518866714e+001dB,3.47585630255560e+001°)
1.03157307943951e+002	(7.43729998876814e+001dB,3.47276708337381e+001°)
1.03276140576140e+002	(7.43762428410463e+001dB,3.46967911178666e+001°)
1.03395110098237e+002	(7.43794807508488e+001dB,3.46659239087602e+001°)
1.03514216667935e+002	(7.43827136211796e+001dB,3.46350692371672e+001°)
1.03633460443104e+002	(7.43859414561389e+001dB,3.46042271337651e+001°)
1.03752841581801e+002	(7.43891642598335e+001dB,3.45733976291604e+001°)
1.03872360242262e+002	(7.43923820363800e+001dB,3.45425807538891e+001°)
1.03992016582906e+002	(7.43955947899024e+001dB,3.45117765384161e+001°)
1.04111810762334e+002	(7.43988025245335e+001dB,3.44809850131350e+001°)
1.04231742939331e+002	(7.44020052444142e+001dB,3.44502062083685e+001°)
1.04351813272863e+002	(7.44052029536929e+001dB,3.44194401543679e+001°)
1.04472021922080e+002	(7.44083956565267e+001dB,3.43886868813130e+001°)
1.04592369046317e+002	(7.44115833570809e+001dB,3.43579464193124e+001°)
1.04712854805090e+002	(7.44147660595288e+001dB,3.43272187984028e+001°)
1.04833479358100e+002	(7.44179437680510e+001dB,3.42965040485497e+001°)
1.04954242865233e+002	(7.44211164868368e+001dB,3.42658021996464e+001°)
1.05075145486555e+002	(7.44242842200836e+001dB,3.42351132815147e+001°)
1.05196187382323e+002	(7.44274469719961e+001dB,3.42044373239041e+001°)
1.05317368712972e+002	(7.44306047467871e+001dB,3.41737743564924e+001°)
1.05438689639126e+002	(7.44337575486775e+001dB,3.41431244088852e+001°)
1.05560150321593e+002	(7.44369053818953e+001dB,3.41124875106158e+001°)
1.05681750921366e+002	(7.44400482506775e+001dB,3.40818636911453e+001°)
1.05803491599623e+002	(7.44431861592673e+001dB,3.40512529798625e+001°)
1.05925372517729e+002	(7.44463191119168e+001dB,3.40206554060834e+001°)
1.06047393837234e+002	(7.44494471128853e+001dB,3.39900709990519e+001°)
1.06169555719873e+002	(7.44525701664396e+001dB,3.39594997879391e+001°)
1.06291858327569e+002	(7.44556882768543e+001dB,3.39289418018431e+001°)
1.06414301822432e+002	(7.44588014484117e+001dB,3.38983970697897e+001°)
1.06536886366757e+002	(7.44619096854010e+001dB,3.38678656207315e+001°)
1.06659612123026e+002	(7.44650129921194e+001dB,3.38373474835482e+001°)
1.06782479253910e+002	(7.44681113728712e+001dB,3.38068426870464e+001°)
1.06905487922266e+002	(7.44712048319687e+001dB,3.37763512599598e+001°)
1.07028638291139e+002	(7.44742933737314e+001dB,3.37458732309487e+001°)
1.07151930523761e+002	(7.44773770024850e+001dB,3.37154086286002e+001°)
1.07275364783553e+002	(7.44804557225644e+001dB,3.36849574814282e+001°)
1.07398941234125e+002	(7.44835295383101e+001dB,3.36545198178728e+001°)
1.07522660039273e+002	(7.44865984540709e+001dB,3.36240956663009e+001°)
1.07646521362984e+002	(7.44896624742021e+001dB,3.35936850550058e+001°)
1.07770525369433e+002	(7.44927216030669e+001dB,3.35632880122072e+001°)
1.07894672222983e+002	(7.44957758450346e+001dB,3.35329045660509e+001°)
1.08018962088190e+002	(7.44988252044830e+001dB,3.35025347446090e+001°)
1.08143395129794e+002	(7.45018696857951e+001dB,3.34721785758798e+001°)
1.08267971512730e+002	(7.45049092933625e+001dB,3.34418360877878e+001°)
1.08392691402121e+002	(7.45079440315833e+001dB,3.34115073081831e+001°)
1.08517554963279e+002	(7.45109739048620e+001dB,3.33811922648421e+001°)
1.08642562361707e+002	(7.45139989176107e+001dB,3.33508909854670e+001°)
1.08767713763100e+002	(7.45170190742484e+001dB,3.33206034976857e+001°)
1.08893009333344e+002	(7.45200343792002e+001dB,3.32903298290521e+001°)
1.09018449238513e+002	(7.45230448368986e+001dB,3.32600700070453e+001°)
1.09144033644876e+002	(7.45260504517827e+001dB,3.32298240590706e+001°)
1.09269762718892e+002	(7.45290512282982e+001dB,3.31995920124584e+001°)
1.09395636627210e+002	(7.45320471708980e+001dB,3.31693738944648e+001°)
1.09521655536674e+002	(7.45350382840408e+001dB,3.31391697322713e+001°)
1.09647819614319e+002	(7.45380245721929e+001dB,3.31089795529848e+001°)
1.09774129027372e+002	(7.45410060398262e+001dB,3.30788033836375e+001°)
1.09900583943253e+002	(7.45439826914198e+001dB,3.30486412511867e+001°)
1.10027184529574e+002	(7.45469545314593e+001dB,3.30184931825153e+001°)
1.10153930954142e+002	(7.45499215644363e+001dB,3.29883592044309e+001°)
1.10280823384956e+002	(7.45528837948492e+001dB,3.29582393436663e+001°)
1.10407861990208e+002	(7.45558412272031e+001dB,3.29281336268797e+001°)
1.10535046938285e+002	(7.45587938660085e+001dB,3.28980420806537e+001°)
1.10662378397767e+002	(7.45617417157832e+001dB,3.28679647314963e+001°)
1.10789856537430e+002	(7.45646847810510e+001dB,3.28379016058402e+001°)
1.10917481526241e+002	(7.45676230663419e+001dB,3.28078527300427e+001°)
1.11045253533365e+002	(7.45705565761919e+001dB,3.27778181303864e+001°)
1.11173172728160e+002	(7.45734853151434e+001dB,3.27477978330782e+001°)
1.11301239280180e+002	(7.45764092877454e+001dB,3.27177918642497e+001°)
1.11429453359174e+002	(7.45793284985518e+001dB,3.26878002499574e+001°)
1.11557815135086e+002	(7.45822429521240e+001dB,3.26578230161821e+001°)
1.11686324778057e+002	(7.45851526530286e+001dB,3.26278601888294e+001°)
1.11814982458423e+002	(7.45880576058383e+001dB,3.25979117937290e+001°)
1.11943788346716e+002	(7.45909578151321e+001dB,3.25679778566355e+001°)
1.12072742613665e+002	(7.45938532854945e+001dB,3.25380584032277e+001°)
1.12201845430197e+002	(7.45967440215161e+001dB,3.25081534591087e+001°)
1.12331096967433e+002	(7.45996300277935e+001dB,3.24782630498059e+001°)
1.12460497396693e+002	(7.46025113089289e+001dB,3.24483872007712e+001°)
1.12590046889495e+002	(7.46053878695305e+001dB,3.24185259373806e+001°)
1.12719745617552e+002	(7.46082597142122e+001dB,3.23886792849342e+001°)
1.12849593752777e+002	(7.46111268475932e+001dB,3.23588472686565e+001°)
1.12979591467281e+002	(7.46139892742992e+001dB,3.23290299136959e+001°)
1.13109738933371e+002	(7.46168469989611e+001dB,3.22992272451251e+001°)
1.13240036323557e+002	(7.46197000262152e+001dB,3.22694392879406e+001°)
1.13370483810542e+002	(7.46225483607037e+001dB,3.22396660670631e+001°)
1.13501081567232e+002	(7.46253920070743e+001dB,3.22099076073372e+001°)
1.13631829766732e+002	(7.46282309699801e+001dB,3.21801639335316e+001°)
1.13762728582344e+002	(7.46310652540797e+001dB,3.21504350703386e+001°)
1.13893778187572e+002	(7.46338948640373e+001dB,3.21207210423749e+001°)
1.14024978756118e+002	(7.46367198045224e+001dB,3.20910218741804e+001°)
1.14156330461885e+002	(7.46395400802096e+001dB,3.20613375902194e+001°)
1.14287833478978e+002	(7.46423556957794e+001dB,3.20316682148797e+001°)
1.14419487981699e+002	(7.46451666559170e+001dB,3.20020137724730e+001°)
1.14551294144554e+002	(7.46479729653133e+001dB,3.19723742872345e+001°)
1.14683252142249e+002	(7.46507746286641e+001dB,3.19427497833234e+001°)
1.14815362149689e+002	(7.46535716506706e+001dB,3.19131402848225e+001°)
1.14947624341984e+002	(7.46563640360392e+001dB,3.18835458157382e+001°)
1.15080038894444e+002	(7.46591517894812e+001dB,3.18539664000005e+001°)
1.15212605982582e+002	(7.46619349157131e+001dB,3.18244020614632e+001°)
1.15345325782110e+002	(7.46647134194564e+001dB,3.17948528239035e+001°)
1.15478198468947e+002	(7.46674873054378e+001dB,3.17653187110222e+001°)
1.15611224219211e+002	(7.46702565783888e+001dB,3.17357997464438e+001°)
1.15744403209225e+002	(7.46730212430458e+001dB,3.17062959537162e+001°)
1.15877735615514e+002	(7.46757813041502e+001dB,3.16768073563107e+001°)
1.16011221614806e+002	(7.46785367664483e+001dB,3.16473339776224e+001°)
1.16144861384035e+002	(7.46812876346911e+001dB,3.16178758409695e+001°)
1.16278655100336e+002	(7.46840339136346e+001dB,3.15884329695940e+001°)
1.16412602941050e+002	(7.46867756080393e+001dB,3.15590053866610e+001°)
1.16546705083721e+002	(7.46895127226706e+001dB,3.15295931152593e+001°)
1.16680961706097e+002	(7.46922452622988e+001dB,3.15001961784011e+001°)
1.16815372986133e+002	(7.46949732316987e+001dB,3.14708145990218e+001°)
1.16949939101988e+002	(7.46976966356490e+001dB,3.14414483999802e+001°)
1.17084660232025e+002	(7.47004154789344e+001dB,3.14120976040586e+001°)
1.17219536554814e+002	(7.47031297663429e+001dB,3.13827622339626e+001°)
1.17354568249130e+002	(7.47058395026680e+001dB,3.13534423123212e+001°)
1.17489755493954e+002	(7.47085446927070e+001dB,3.13241378616866e+001°)
1.17625098468473e+002	(7.47112453412619e+001dB,3.12948489045344e+001°)
1.17760597352082e+002	(7.47139414531389e+001dB,3.12655754632635e+001°)
1.17896252324380e+002	(7.47166330331489e+001dB,3.12363175601963e+001°)
1.18032063565174e+002	(7.47193200861070e+001dB,3.12070752175781e+001°)
1.18168031254479e+002	(7.47220026168327e+001dB,3.11778484575779e+001°)
1.18304155572518e+002	(7.47246806301500e+001dB,3.11486373022876e+001°)
1.18440436699718e+002	(7.47273541308862e+001dB,3.11194417737228e+001°)
1.18576874816717e+002	(7.47300231238736e+001dB,3.10902618938221e+001°)
1.18713470104361e+002	(7.47326876139490e+001dB,3.10610976844474e+001°)
1.18850222743703e+002	(7.47353476059524e+001dB,3.10319491673840e+001°)
1.18987132916005e+002	(7.47380031047283e+001dB,3.10028163643404e+001°)
1.19124200802739e+002	(7.47406541151259e+001dB,3.09736992969483e+001°)
1.19261426585583e+002	(7.47433006419972e+001dB,3.09445979867629e+001°)
1.19398810446429e+002	(7.47459426901995e+001dB,3.09155124552623e+001°)
1.19536352567373e+002	(7.47485802645930e+001dB,3.08864427238483e+001°)
1.19674053130726e+002	(7.47512133700424e+001dB,3.08573888138457e+001°)
1.19811912319005e+002	(7.47538420114164e+001dB,3.08283507465026e+001°)
1.19949930314939e+002	(7.47564661935870e+001dB,3.07993285429905e+001°)
1.20088107301468e+002	(7.47590859214305e+001dB,3.07703222244041e+001°)
1.20226443461743e+002	(7.47617011998268e+001dB,3.07413318117613e+001°)
1.20364938979123e+002	(7.47643120336596e+001dB,3.07123573260036e+001°)
1.20503594037181e+002	(7.47669184278166e+001dB,3.06833987879955e+001°)
1.20642408819701e+002	(7.47695203871888e+001dB,3.06544562185249e+001°)
1.20781383510679e+002	(7.47721179166709e+001dB,3.06255296383031e+001°)
1.20920518294322e+002	(7.47747110211614e+001dB,3.05966190679647e+001°)
1.21059813355050e+002	(7.47772997055622e+001dB,3.05677245280674e+001°)
1.21199268877494e+002	(7.47798839747787e+001dB,3.05388460390928e+001°)
1.21338885046499e+002	(7.47824638337208e+001dB,3.05099836214453e+001°)
1.21478662047124e+002	(7.47850392873002e+001dB,3.04811372954528e+001°)
1.21618600064638e+002	(7.47876103404334e+001dB,3.04523070813668e+001°)
1.21758699284527e+002	(7.47901769980396e+001dB,3.04234929993621e+001°)
1.21898959892488e+002	(7.47927392650419e+001dB,3.03946950695368e+001°)
1.22039382074433e+002	(7.47952971463662e+001dB,3.03659133119124e+001°)
1.22179966016489e+002	(7.47978506469426e+001dB,3.03371477464341e+001°)
1.22320711904995e+002	(7.48003997717032e+001dB,3.03083983929703e+001°)
1.22461619926506e+002	(7.48029445255844e+001dB,3.02796652713130e+001°)
1.22602690267794e+002	(7.48054849135256e+001dB,3.02509484011775e+001°)
1.22743923115842e+002	(7.48080209404688e+001dB,3.02222478022029e+001°)
1.22885318657852e+002	(7.48105526113602e+001dB,3.01935634939517e+001°)
1.23026877081240e+002	(7.48130799311482e+001dB,3.01648954959097e+001°)
1.23168598573637e+002	(7.48156029047848e+001dB,3.01362438274868e+001°)
1.23310483322892e+002	(7.48181215372247e+001dB,3.01076085080159e+001°)
1.23452531517070e+002	(7.48206358334259e+001dB,3.00789895567539e+001°)
1.23594743344452e+002	(7.48231457983494e+001dB,3.00503869928812e+001°)
1.23737118993537e+002	(7.48256514369589e+001dB,3.00218008355018e+001°)
1.23879658653038e+002	(7.48281527542213e+001dB,2.99932311036435e+001°)
1.24022362511890e+002	(7.48306497551059e+001dB,2.99646778162576e+001°)
1.24165230759243e+002	(7.48331424445854e+001dB,2.99361409922194e+001°)
1.24308263584464e+002	(7.48356308276355e+001dB,2.99076206503279e+001°)
1.24451461177140e+002	(7.48381149092337e+001dB,2.98791168093054e+001°)
1.24594823727076e+002	(7.48405946943611e+001dB,2.98506294877988e+001°)
1.24738351424296e+002	(7.48430701880018e+001dB,2.98221587043781e+001°)
1.24882044459041e+002	(7.48455413951414e+001dB,2.97937044775376e+001°)
1.25025903021774e+002	(7.48480083207689e+001dB,2.97652668256954e+001°)
1.25169927303174e+002	(7.48504709698763e+001dB,2.97368457671934e+001°)
1.25314117494143e+002	(7.48529293474576e+001dB,2.97084413202974e+001°)
1.25458473785801e+002	(7.48553834585094e+001dB,2.96800535031977e+001°)
1.25602996369489e+002	(7.48578333080308e+001dB,2.96516823340078e+001°)
1.25747685436768e+002	(7.48602789010241e+001dB,2.96233278307659e+001°)
1.25892541179418e+002	(7.48627202424929e+001dB,2.95949900114338e+001°)
1.26037563789444e+002	(7.48651573374441e+001dB,2.95666688938979e+001°)
1.26182753459069e+002	(7.48675901908869e+001dB,2.95383644959683e+001°)
1.26328110380737e+002	(7.48700188078326e+001dB,2.95100768353795e+001°)
1.26473634747117e+002	(7.48724431932949e+001dB,2.94818059297902e+001°)
1.26619326751096e+002	(7.48748633522897e+001dB,2.94535517967833e+001°)
1.26765186585786e+002	(7.48772792898357e+001dB,2.94253144538660e+001°)
1.26911214444521e+002	(7.48796910109531e+001dB,2.93970939184698e+001°)
1.27057410520856e+002	(7.48820985206647e+001dB,2.93688902079506e+001°)
