Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
1000.000000000001,-2.819217914916747,6413.980823371513
1013.91138573668,-2.717765965191929,6612.135881405609
1028.016298126475,-2.698200466687847,6604.19039259381
1042.317429393305,-2.749698419576721,6414.013607480851
1056.81750921366,-2.639287076874778,6608.691215991718
1071.519305237607,-2.611531509975061,6573.85957091578
1086.425623617067,-2.55068088009396,6611.726332678509
1101.539309541416,-2.546322784323148,6546.004733298943
1116.863247780562,-2.563269325871522,6405.837960400634
1132.400363235558,-2.436341338547021,6605.23191368909
1148.153621496884,-2.469605837067543,6428.05273253869
1164.126029410492,-2.414280405422471,6577.57219402688
1180.320635651731,-2.325806775587905,6609.272602692866
1196.740531307244,-2.275167795008366,6599.405738453892
1213.388850464979,-2.322339439984638,6519.177571291604
1230.268770812382,-2.375784594427548,6402.166613178848
1247.383514242945,-2.216971280110042,6608.421469374944
1264.736347471152,-2.354528479525129,6438.979326825145
1282.330582656023,-2.235725972822222,6548.294965135756
1300.169578033291,-2.118648687722094,6599.019065201755
1318.256738556409,-2.231994438422088,6454.101687720278
1336.595516546443,-2.182238226550622,6588.004426352557
1355.189412351038,-2.053774464096902,6580.930377387167
1374.041975012516,-2.045965502009206,6576.624395099934
1393.156802945305,-2.029098497030739,6581.16457572963
1412.537544622755,-1.979006480956137,6600.067637850027
1432.187899273545,-2.095334734157542,6379.877117858687
1452.111617587743,-1.909376714021005,6580.673151000756
1472.312502432721,-1.974166865427463,6592.278585267642
1492.794409578997,-1.871746224057491,6590.165597747083
1513.56124843621,-1.940237433575901,6553.409924920991
1534.616982799296,-1.914873313678221,6358.567757230519
1555.965631605077,-1.884147462526556,6572.575209527108
1577.61126969935,-1.910088337881892,6361.116268567258
1599.558028614671,-1.776066206185396,6581.487807748616
1621.810097358931,-1.743692019865632,6601.645351126313
1644.371723214932,-1.717781707645074,6580.04844696175
1667.247212551064,-1.694472702398756,6575.102739924549
1690.440931643265,-1.706734818621888,6563.450966064232
1713.957307508427,-1.662638653792921,6567.565370461043
1737.800828749376,-1.669213419877515,6608.383120331095
1761.976046411631,-1.738077714150724,6373.037176509552
1786.487574852052,-1.631237227427825,6563.286314855827
1811.340092619604,-1.600881434155968,6555.851284076482
1836.538343348347,-1.590459789101827,6596.180461873342
1862.087136662869,-1.57707091697745,6561.234551002269
1887.991349096294,-1.535121000167424,6567.315480956006
1914.255925021088,-1.485671877410178,6558.456790529118
1940.885877592779,-1.461196699719148,6588.323293233589
1967.886289706847,-1.517896919883804,6459.859775816889
1995.262314968881,-1.457640500059577,6592.109884153616
2023.019178678274,-1.382910252705232,6588.875384391866
2051.162178825567,-1.418887724687789,6589.987586616792
2079.696687103698,-1.433941955491579,6574.928527575165
2108.628149933291,-1.455302188624009,6605.39301545581
2137.962089502235,-1.37400727086189,6569.916513556772
2167.704104819696,-1.397371020807618,6579.002313334279
2197.859872784828,-1.387177884987078,6568.418347536298
2228.435149270305,-1.335219926620625,6590.730234298525
2259.43577022098,-1.292072314107747,6588.619001055032
2290.867652767774,-1.464055541346925,6332.743728427502
2322.73679635711,-1.331268794466482,6541.08811755732
2355.049283896011,-1.32732328500012,6560.8515481383
2387.811282913181,-1.264771161592103,6576.21323009245
2421.02904673618,-1.206376218354382,6599.07555184695
2454.708915685034,-1.180813080663869,6591.256688805111
2488.857318282393,-1.279983859086825,6342.9110621134
2523.480772480578,-1.174710145293439,6568.891606870076
2558.585886905648,-1.143425419296774,6574.981502143969
2594.179362118818,-1.07353636596103,6580.442669232905
2630.267991895385,-1.300443418694431,6344.818150657646
2666.858664521483,-1.150031671340343,6574.036552022306
2703.958364108846,-1.105964477141736,6574.361109100802
2741.574171927887,-1.125803277681066,6599.80024878692
2779.713267759291,-1.122754417680263,6572.709105643647
2818.382931264458,-1.118366118563968,6487.196852379019
2857.590543374949,-1.118493918328884,6604.650414776203
2897.343587701328,-1.047942845692524,6600.526843307108
2937.649651961533,-1.191172425129237,6301.464136205066
2978.516429429194,-1.072705083443876,6521.300889939921
3019.951720402019,-1.145639731303728,6423.746900775141
3061.963433690682,-0.9861799704416644,6567.741021385586
3104.559588128359,-0.9798480807711801,6572.337643737919
3147.74831410132,-0.9915088559851795,6590.884487191548
3191.537855100765,-1.043138749984153,6476.792702268374
3235.936569296288,-1.034265353684341,6544.208427860818
3280.952931131191,-0.9995146278103112,6577.194798322016
3326.595532940047,-1.143393871929315,6266.64627541013
3372.873086588689,-1.003315856125349,6566.322392796263
3419.79442513709,-0.9308940711795367,6548.156921844358
3467.368504525317,-0.9338594158209752,6547.766362332231
3515.604405282983,-0.9338517578474121,6585.228888325815
3564.511334262443,-0.8790918694353757,6597.339787219829
3614.098626396135,-0.9294314509766431,6548.976913508029
3664.375746478333,-0.8539329676124922,6573.556340069616
3715.352290971728,-0.8607605006801985,6578.632890839142
3767.037989839089,-0.8291530675396214,6553.789307734753
3819.442708400468,-0.8908691256303107,6593.093232622832
3872.576449216173,-0.8751548898800803,6524.601397545147
3926.449353996001,-0.8614343212891805,6569.859880647046
3981.071705534973,-0.8499529892827746,6585.19048175219
4036.453929676053,-0.8909311095700219,6563.072597194696
4092.60659730011,-0.8698532805365812,6556.425750926106
4149.540426343632,-0.8179931164749851,6606.153208269462
4207.266283844442,-0.9592101646849918,6398.470575005095
4265.79518801593,-0.8218065921717824,6575.877991209104
4325.138310350088,-0.9750561318942603,6248.617785842367
4385.30697774986,-0.7930682028699989,6559.580383412413
4446.312674691088,-0.9037611549322533,6353.009607409178
4508.167045414605,-0.8567955754834524,6515.055572022118
4570.881896148752,-0.7478100036787715,6573.543630053972
4634.469197362884,-0.7730061894504313,6580.757559240172
4698.941086052156,-0.7746931335406182,6552.892395667784
4764.309868054161,-0.81285140216867,6552.059921344903
4830.588020397728,-0.7528733483155307,6596.908070010313
4897.788193684466,-0.7626909480239862,6596.925781388371
4965.923214503363,-0.8048596642954453,6570.896648004047
5035.006087879053,-0.7207045980053188,6589.792355674817
5105.049999754065,-0.8729050376649785,6369.425242356602
5176.068319505681,-0.7501196051068629,6579.511019716898
5248.074602497728,-0.7696930985392638,6445.255015390426
5321.082592667947,-0.764556254008003,6543.534138573719
5395.106225151279,-0.7090454125838919,6586.136108828046
5470.159628939721,-0.6622579389205753,6578.950268523461
5546.25712957911,-0.6827048552636551,6528.401919560047
5623.413251903497,-0.7898799245169104,6555.851111221806
5701.642722807478,-0.6792995112428196,6600.558905777072
5780.960474057187,-0.7101885788975495,6572.932606370831
5861.381645140291,-0.8564846274660846,6404.194295427984
5942.921586155733,-0.7485847558339808,6542.295705890926
6025.59586074358,-0.8366892951742654,6351.78939379138
6109.420249055726,-0.9971605753249974,6290.701030357036
6194.410750767818,-0.6577960745829107,6555.392098260149
6280.583588133187,-0.679483859338696,6557.629864965973
6367.955209079162,-0.647214490120111,6586.028358982608
6456.542290346562,-0.6736979695997382,6557.386193210734
6546.361740672754,-0.6590749676521462,6560.781289379502
6637.430704019096,-0.6067492764665301,6589.834778670891
6729.766562843181,-0.6260153010245619,6476.818172246104
6823.386941416704,-0.6072031847831297,6547.275666750939
6918.30970918937,-0.6213033419959118,6595.847946686058
7014.552984199721,-0.5947219490488028,6585.148813850527
7112.135136533296,-0.6733176776530069,6480.995011481378
7211.074791829004,-1.057848473113087,6216.880387024274
7311.39083483418,-0.6085735104304144,6552.415988877603
7413.102413009185,-0.5294425803870729,6591.081783124329
7516.228940182061,-0.6629700078390264,6586.857985458544
7620.79010025413,-0.5917636821906098,6582.756875395649
7726.805850957029,-0.6083578135398411,6584.274670262211
7834.296427662129,-0.6910508717858704,6517.181957648609
7943.282347242821,-0.5729310552723454,6583.264584525821
8053.784411990678,-0.5268152446355786,6548.002196383001
8165.823713585931,-0.5629303544314652,6548.288456588524
8279.421637123352,-0.5893757521298287,6555.670322265223
8394.599865193981,-0.5693555097221639,6549.116247583031
8511.380382023775,-0.6991890676662202,6452.706293980468
8629.78547766971,-0.4790352436532939,6588.856511265478
8749.837752274372,-0.6088286338909277,6543.603455834494
8871.560120379616,-0.5623215679102901,6564.581440296717
8994.975815300364,-0.8970822661156823,6346.77483162733
9120.108393559105,-0.6424813612703786,6569.619086048793
9246.98173938224,-0.5855603435952531,6591.192940598209
9375.620069258812,-1.069640612907254,6207.96250204792
9506.047936562829,-1.114679509666258,6227.293220360053
9638.290236239714,-0.6643160113822625,6589.894221428233
9772.372209558122,-0.7055913830086804,6521.591976271227
9908.319448927685,-0.7629356474169527,6468.170821739149
10046.15790278396,-0.6078514897882787,6549.608780345296
10185.91388054118,-0.5423845957030895,6587.016899029991
10327.61405761399,-0.5742547589982713,6582.786237352554
10471.28548050901,-0.5577372313251634,6559.950425647455
10616.95557198726,-0.5718522259585234,6600.030207530544
10764.65213629836,-1.190573861281741,6201.666378543034
10914.40336448757,-0.5631604441658459,6558.394271187937
11066.23783977667,-0.783811255973597,6511.953267896833
11220.18454301964,-0.5398139323925039,6593.786680471058
11376.27285823432,-0.5227965403852491,6583.854190409944
11534.53257821093,-0.7417338952119311,6427.506759666526
11694.99391019872,-0.5906274262441351,6568.428820829749
11857.68748167161,-0.8820915843815191,6351.373534601423
12022.64434617414,-0.6787189736680939,6524.126520642993
12189.89598924867,-0.4669875470820445,6590.496678860734
12359.47433444511,-0.5042187852775114,6573.222528100176
12531.41174941417,-0.5227219714799346,6555.020774374586
12705.74105208543,-0.5025850137065779,6556.972139123254
12882.49551693135,-0.5558064573573865,6549.017654416323
13061.70888131842,-0.5585846036457525,6580.780674757093
13243.41535194666,-0.613422869792877,6584.059605127369
13427.64961137865,-0.5254335651441373,6532.339435842668
13614.44682465951,-0.6182251137817106,6530.033916202756
13803.84264602886,-0.7879872727033892,6401.083055387978
13995.87322572619,-0.5911685205650831,6541.981885413337
14190.57521689093,-0.4699329125122305,6574.730009469346
14387.98578255847,-1.1288982515486,6286.461090392248
14588.1426027535,-0.5221449528540182,6547.251135256946
14791.08388168209,-0.6640821777328451,6542.213489727237
14996.84835502375,-0.5937559339764189,6551.857744569788
15205.47529732497,-0.773455387333044,6494.79477944084
15417.00452949561,-0.4307321089772156,6579.460319637476
15631.47642640956,-0.5151514950220389,6578.426383810136
15848.93192461115,-0.6180398186796585,6550.277834414165
16069.41253012879,-0.5392557142204388,6574.464801871607
16292.96032639724,-0.9709967161211839,6444.984040863689
16519.61798229016,-0.584719032398204,6555.225856774082
16749.42876026437,-0.4569337811956533,6580.57202317309
16982.43652461744,-0.5908065602812625,6549.845473233213
17218.68574986007,-0.5813737183857614,6563.696792078142
17458.22152920504,-0.4625516654572863,6572.412687323175
17701.08958317421,-0.4562402075249535,6569.21587908755
17947.33626832527,-0.5317969693679446,6533.259220695904
18197.00858609984,-0.4767614517085521,6577.984422555065
18450.15419179474,-1.124764206127475,6435.768457052376
18706.82140365801,-0.6962149778162435,6556.785773219469
18967.05921211146,-0.867875131495232,6477.098065905825
19230.91728910159,-0.6969918498325405,6539.805289578693
19498.44599758046,-0.679306124945642,6526.94304926866
19769.69640111861,-0.7866363570466335,6544.42378961268
20044.72027365162,-0.6859524601969103,6566.198452619949
20323.57010936222,-1.011407078205134,6419.31363288753
20606.29913270001,-0.5036785545688346,6498.143048561736
20892.96130854039,-0.7321740385301739,6566.433993146693
21183.61135248502,-0.9500552779525695,6506.61621843518
21478.30474130534,-0.517380350012705,6569.011533298486
21777.09772353159,-0.7778688741305585,6543.813283108344
22080.047330189,-0.5369176797712231,6554.815087996194
22387.2113856834,-0.7462557080124782,6552.558837947256
22698.64851883822,-0.6413841234948823,6580.80954826565
23014.41817408509,-0.7287473398213424,6588.748745921045
23334.58062281003,-0.5388182284531484,6588.481611450295
23659.19697485759,-0.7678089548047916,6500.071242506931
23988.32919019491,-0.4531815103887574,6586.171918091683
24322.04009073816,-0.7656153140212241,6543.531022910472
24660.3933723434,-0.973543967770368,6513.864869956438
25003.45361696432,-0.6590740233629678,6583.832131957266
25351.28630497908,-0.7114902417496565,6544.993859825995
25703.95782768865,-0.6807842320645165,6552.419659664598
26061.53549998896,-0.6433506152951638,6552.726896143306
26424.08757321947,-0.7388712171350478,6537.686627357116
26791.68324819033,-0.781517936643306,6576.064249577596
27164.39268839084,-2.1768274452541,6194.014827279518
27542.28703338168,-1.238676896891477,6580.220516641377
27925.43841237339,-1.572650035028488,6535.093547945989
28313.9199579938,-0.1687404835191977,6555.794648486815
