Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
1000.000000000001,-13.7803709566219,10164.56626645035
1013.91138573668,-13.98112961623279,10158.53891312576
1028.016298126475,-14.15446856903335,10147.09566573845
1042.317429393305,-14.35469289600063,10140.13583793109
1056.81750921366,-14.54686037177901,10134.56485509161
1071.519305237607,-14.7274730499562,10119.7969236546
1086.425623617067,-14.91850086089338,10108.0076756762
1101.539309541416,-15.11920592691325,10104.27027824975
1116.863247780562,-15.30346992486406,10091.29578735949
1132.400363235558,-15.49030185525814,10083.37436725307
1148.153621496884,-15.68892072899807,10064.29230373929
1164.126029410492,-15.91789956113809,10051.99707997032
1180.320635651731,-16.14291364108015,10047.83594557282
1196.740531307244,-16.34861279522942,10034.46787916201
1213.388850464979,-16.55629671999741,10030.13253263249
1230.268770812382,-16.77882761242759,10011.35997580894
1247.383514242945,-16.99199183555524,9999.325105511587
1264.736347471152,-17.24060064198694,9991.464375835565
1282.330582656023,-17.4347022009734,9976.736916562309
1300.169578033291,-17.6630039891778,9965.87141198979
1318.256738556409,-17.89498061388548,9954.927083985671
1336.595516546443,-18.11261960117726,9933.1490826151
1355.189412351038,-18.35552386280126,9923.57554762331
1374.041975012516,-18.62582760033023,9909.818817803653
1393.156802945305,-18.82249793111177,9886.667818731206
1412.537544622755,-19.06358864902671,9880.419062279567
1432.187899273545,-19.33593772758742,9859.464510233327
1452.111617587743,-19.56556936805358,9847.013411094338
1472.312502432721,-19.8211080653321,9836.733187009773
1492.794409578997,-20.06923971141031,9816.221099092658
1513.56124843621,-20.31054757732958,9798.011311118413
1534.616982799296,-20.58823921583917,9781.818732703698
1555.965631605077,-20.82986412972511,9759.757642606406
1577.61126969935,-21.1009045093568,9743.47741496709
1599.558028614671,-21.36574709125828,9726.440477664808
1621.810097358931,-21.61449664769781,9705.617945131116
1644.371723214932,-21.90861125753812,9689.282831044577
1667.247212551064,-22.17239806966367,9672.822839913437
1690.440931643265,-22.44743821195562,9652.73644227514
1713.957307508427,-22.70544515159977,9630.77002281318
1737.800828749376,-22.99504359707968,9610.103625786989
1761.976046411631,-23.29956512039252,9589.144843012731
1786.487574852052,-23.57626511494622,9569.9775234267
1811.340092619604,-23.85297609130658,9549.685392928988
1836.538343348347,-24.1570384749334,9523.811924687234
1862.087136662869,-24.45372581270707,9501.729773006198
1887.991349096294,-24.73099168181093,9475.62605894765
1914.255925021088,-25.05584584503924,9456.194539879385
1940.885877592779,-25.36531702245962,9427.849855617531
1967.886289706847,-25.62997932734523,9402.157688873189
1995.262314968881,-25.95017798903511,9379.500836151485
2023.019178678274,-26.2707728354148,9350.939783256727
2051.162178825567,-26.56906678129819,9322.606246655647
2079.696687103698,-26.89244797677883,9298.388669138625
2108.628149933291,-27.21243367483127,9271.555125008241
2137.962089502235,-27.52011341500503,9241.859333347214
2167.704104819696,-27.84145452338622,9213.956216881499
2197.859872784828,-28.17178189554575,9188.123416577968
2228.435149270305,-28.4775977189364,9157.055875723365
2259.43577022098,-28.80665942941059,9126.445802813829
2290.867652767774,-29.11855581423965,9093.377966175782
2322.73679635711,-29.4756638407714,9066.280784187993
2355.049283896011,-29.81202501194177,9036.286942000894
2387.811282913181,-30.14386951744235,9002.870744698957
2421.02904673618,-30.4727917186766,8966.730558281748
2454.708915685034,-30.84431076735473,8933.849994695878
2488.857318282393,-31.1657462944957,8902.72876751844
2523.480772480578,-31.5109358135273,8865.468530124783
2558.585886905648,-31.85045334200563,8828.989948597908
2594.179362118818,-32.18469077363356,8796.555043125147
