,index,Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
0,0,1000.000000000001,-2.755188901596405,7163.8118853370615
1,1,1013.9113857366801,-2.792383082431587,6995.0997245689205
2,2,1028.016298126475,-2.7185285219870687,7053.911778649134
3,3,1042.317429393305,-2.7229703909155707,7118.721808367129
4,4,1056.81750921366,-2.634866860121668,7124.125134714403
6,6,1086.425623617067,-2.649399286352202,7025.042468541452
8,8,1116.863247780562,-2.377398950240426,6981.431888116537
9,9,1132.400363235558,-2.327270972601467,7138.764805215935
11,11,1164.126029410492,-2.237677476300439,7163.346493063277
12,12,1180.320635651731,-2.297762821435899,6966.739523353944
13,13,1196.740531307244,-2.28924396909623,6988.210104354149
14,14,1213.388850464979,-2.2436387943596143,7008.325599320407
16,16,1247.383514242945,-2.161618256319015,7070.681541817862
18,18,1282.330582656023,-2.06820989508743,6998.4109176757265
19,19,1300.169578033291,-2.0900715425633667,6983.542025127561
21,21,1336.595516546443,-1.990180624288449,7137.361247059847
23,23,1374.041975012516,-1.918967379958598,7141.799917741252
24,24,1393.156802945305,-1.905219447249864,7134.3218338985025
25,25,1412.5375446227551,-1.9491903099019798,6948.769455682746
26,26,1432.1878992735449,-1.8766839130296618,7082.108582657949
27,27,1452.111617587743,-1.797784733074151,7114.062300423574
29,29,1492.794409578997,-1.842334280193336,6978.8865904567965
30,30,1513.56124843621,-1.766828236512537,7140.717084700876
32,32,1555.9656316050769,-1.702373552502481,7130.180491634806
34,34,1599.558028614671,-1.719519421092566,7027.078653954554
35,35,1621.810097358931,-1.7600803048232379,6925.959477024246
37,37,1667.2472125510642,-1.622628009151119,7091.809241689009
38,38,1690.440931643265,-1.6052744581441498,7124.69452366187
39,39,1713.9573075084272,-1.591213453820605,7131.729649606553
41,41,1761.976046411631,-1.598564549199276,6953.39929228367
42,42,1786.487574852052,-1.512331345983285,7086.433803113335
44,44,1836.5383433483469,-1.45855923198345,7135.726305637331
45,45,1862.087136662869,-1.44735441767127,7133.526928712144
