Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
1000.000000000001,-53.80703334478706,332.9272625053189
1013.91138573668,-53.35395194005736,330.8464035911255
1028.016298126475,-52.93836155493605,328.8877909320879
1042.317429393305,-52.50477803734402,326.9301867136441
1056.81750921366,-52.08512659864787,325.0008878428416
1071.519305237607,-51.65630353312364,323.1277191883772
1086.425623617067,-51.22477855965326,321.318858509286
1101.539309541416,-50.83359264864534,319.4546604830774
1116.863247780562,-50.41759679755388,317.7052351374483
1132.400363235558,-49.97696888488621,316.0092884896702
1148.153621496884,-49.57644082075807,314.2782927284029
1164.126029410492,-49.12017702942132,312.6404946708556
1180.320635651731,-48.71788094526002,310.9715066255382
1196.740531307244,-48.28717407957954,309.4038557220745
1213.388850464979,-47.88112451893485,307.7430371382045
1230.268770812382,-47.4398160280776,306.3020670477619
1247.383514242945,-47.02036617576841,304.7589260041539
1264.736347471152,-46.61431374898777,303.2945216471321
1282.330582656023,-46.19218444845274,301.8217104395526
1300.169578033291,-45.78034741260904,300.4623019459746
1318.256738556409,-45.33142848274166,299.0723709944667
1336.595516546443,-44.92017041185314,297.7315491574054
1355.189412351038,-44.53186815446053,296.3597564542894
1374.041975012516,-44.1080978963589,295.1201897124029
1393.156802945305,-43.68619617355565,293.7920875735459
1412.537544622755,-43.26958434006618,292.5114874837714
1432.187899273545,-42.83481423612822,291.291413578263
1452.111617587743,-42.43822572828405,290.1035056535022
1472.312502432721,-42.01186281790297,288.9437106771318
1492.794409578997,-41.5973497376693,287.8129950180409
1513.56124843621,-41.17709117019512,286.7411522104672
1534.616982799296,-40.80028924850389,285.5311283717116
1555.965631605077,-40.37252085540914,284.5284027790484
1577.61126969935,-39.97104504996071,283.477185377476
1599.558028614671,-39.57427468033432,282.3886413731228
1621.810097358931,-39.17501483561276,281.4039401126094
1644.371723214932,-38.74780126514409,280.4358949892423
1667.247212551064,-37.95014102985371,279.086737682396
1690.440931643265,-37.57794417595922,278.1891698594991
