Freq.	V(vout)/I(I1)
1.00000000000000e+003	(7.42835191727537e+001dB,3.55573227138016e+001°)
1.00115195553817e+003	(7.42868998171620e+001dB,3.55261071532311e+001°)
1.00230523807790e+003	(7.42902753108400e+001dB,3.54949032313372e+001°)
1.00345984914784e+003	(7.42936456576393e+001dB,3.54637109807214e+001°)
1.00461579027840e+003	(7.42970108614211e+001dB,3.54325304339176e+001°)
1.00577306300174e+003	(7.43003709260559e+001dB,3.54013616233920e+001°)
1.00693166885180e+003	(7.43037258554237e+001dB,3.53702045815429e+001°)
1.00809160936430e+003	(7.43070756534131e+001dB,3.53390593407006e+001°)
1.00925288607668e+003	(7.43104203239221e+001dB,3.53079259331273e+001°)
1.01041550052821e+003	(7.43137598708584e+001dB,3.52768043910170e+001°)
1.01157945425990e+003	(7.43170942981380e+001dB,3.52456947464953e+001°)
1.01274474881453e+003	(7.43204236096859e+001dB,3.52145970316194e+001°)
1.01391138573668e+003	(7.43237478094373e+001dB,3.51835112783778e+001°)
1.01507936657269e+003	(7.43270669013351e+001dB,3.51524375186903e+001°)
1.01624869287070e+003	(7.43303808893318e+001dB,3.51213757844080e+001°)
1.01741936618061e+003	(7.43336897773891e+001dB,3.50903261073129e+001°)
1.01859138805412e+003	(7.43369935694766e+001dB,3.50592885191181e+001°)
1.01976476004472e+003	(7.43402922695737e+001dB,3.50282630514673e+001°)
1.02093948370768e+003	(7.43435858816682e+001dB,3.49972497359351e+001°)
1.02211556060007e+003	(7.43468744097567e+001dB,3.49662486040266e+001°)
1.02329299228076e+003	(7.43501578578451e+001dB,3.49352596871774e+001°)
1.02447178031038e+003	(7.43534362299468e+001dB,3.49042830167535e+001°)
1.02565192625141e+003	(7.43567095300852e+001dB,3.48733186240511e+001°)
1.02683343166809e+003	(7.43599777622917e+001dB,3.48423665402967e+001°)
1.02801629812648e+003	(7.43632409306064e+001dB,3.48114267966466e+001°)
1.02920052719443e+003	(7.43664990390777e+001dB,3.47804994241871e+001°)
1.03038612044162e+003	(7.43697520917634e+001dB,3.47495844539346e+001°)
1.03157307943951e+003	(7.43730000927284e+001dB,3.47186819168348e+001°)
1.03276140576140e+003	(7.43762430460477e+001dB,3.46877918437634e+001°)
1.03395110098237e+003	(7.43794809558036e+001dB,3.46569142655252e+001°)
1.03514216667935e+003	(7.43827138260870e+001dB,3.46260492128548e+001°)
1.03633460443104e+003	(7.43859416609979e+001dB,3.45951967164160e+001°)
1.03752841581801e+003	(7.43891644646431e+001dB,3.45643568068015e+001°)
1.03872360242262e+003	(7.43923822411396e+001dB,3.45335295145336e+001°)
1.03992016582906e+003	(7.43955949946110e+001dB,3.45027148700631e+001°)
1.04111810762334e+003	(7.43988027291904e+001dB,3.44719129037701e+001°)
1.04231742939331e+003	(7.44020054490180e+001dB,3.44411236459633e+001°)
1.04351813272863e+003	(7.44052031582431e+001dB,3.44103471268801e+001°)
1.04472021922080e+003	(7.44083958610224e+001dB,3.43795833766868e+001°)
1.04592369046317e+003	(7.44115835615212e+001dB,3.43488324254776e+001°)
1.04712854805090e+003	(7.44147662639127e+001dB,3.43180943032758e+001°)
1.04833479358100e+003	(7.44179439723774e+001dB,3.42873690400325e+001°)
1.04954242865232e+003	(7.44211166911051e+001dB,3.42566566656274e+001°)
1.05075145486555e+003	(7.44242844242929e+001dB,3.42259572098682e+001°)
1.05196187382323e+003	(7.44274471761453e+001dB,3.41952707024906e+001°)
1.05317368712972e+003	(7.44306049508756e+001dB,3.41645971731582e+001°)
1.05438689639126e+003	(7.44337577527039e+001dB,3.41339366514628e+001°)
1.05560150321593e+003	(7.44369055858592e+001dB,3.41032891669236e+001°)
1.05681750921366e+003	(7.44400484545776e+001dB,3.40726547489876e+001°)
1.05803491599623e+003	(7.44431863631029e+001dB,3.40420334270297e+001°)
1.05925372517729e+003	(7.44463193156868e+001dB,3.40114252303518e+001°)
1.06047393837234e+003	(7.44494473165890e+001dB,3.39808301881836e+001°)
1.06169555719873e+003	(7.44525703700758e+001dB,3.39502483296823e+001°)
1.06291858327569e+003	(7.44556884804223e+001dB,3.39196796839319e+001°)
1.06414301822432e+003	(7.44588016519103e+001dB,3.38891242799438e+001°)
1.06536886366757e+003	(7.44619098888295e+001dB,3.38585821466567e+001°)
1.06659612123026e+003	(7.44650131954767e+001dB,3.38280533129360e+001°)
1.06782479253910e+003	(7.44681115761569e+001dB,3.37975378075743e+001°)
1.06905487922266e+003	(7.44712050351812e+001dB,3.37670356592910e+001°)
1.07028638291139e+003	(7.44742935768698e+001dB,3.37365468967323e+001°)
1.07151930523761e+003	(7.44773772055487e+001dB,3.37060715484708e+001°)
1.07275364783553e+003	(7.44804559255523e+001dB,3.36756096430064e+001°)
1.07398941234125e+003	(7.44835297412213e+001dB,3.36451612087650e+001°)
1.07522660039273e+003	(7.44865986569043e+001dB,3.36147262740991e+001°)
1.07646521362984e+003	(7.44896626769570e+001dB,3.35843048672876e+001°)
1.07770525369433e+003	(7.44927218057422e+001dB,3.35538970165361e+001°)
1.07894672222983e+003	(7.44957760476296e+001dB,3.35235027499760e+001°)
1.08018962088190e+003	(7.44988254069961e+001dB,3.34931220956651e+001°)
1.08143395129794e+003	(7.45018698882260e+001dB,3.34627550815873e+001°)
1.08267971512730e+003	(7.45049094957101e+001dB,3.34324017356527e+001°)
1.08392691402121e+003	(7.45079442338463e+001dB,3.34020620856971e+001°)
1.08517554963279e+003	(7.45109741070399e+001dB,3.33717361594825e+001°)
1.08642562361707e+003	(7.45139991197023e+001dB,3.33414239846966e+001°)
1.08767713763101e+003	(7.45170192762527e+001dB,3.33111255889529e+001°)
1.08893009333344e+003	(7.45200345811162e+001dB,3.32808409997907e+001°)
1.09018449238513e+003	(7.45230450387254e+001dB,3.32505702446750e+001°)
1.09144033644876e+003	(7.45260506535192e+001dB,3.32203133509962e+001°)
1.09269762718892e+003	(7.45290514299438e+001dB,3.31900703460704e+001°)
1.09395636627210e+003	(7.45320473724513e+001dB,3.31598412571392e+001°)
1.09521655536674e+003	(7.45350384855011e+001dB,3.31296261113696e+001°)
1.09647819614319e+003	(7.45380247735590e+001dB,3.30994249358538e+001°)
1.09774129027372e+003	(7.45410062410973e+001dB,3.30692377576095e+001°)
1.09900583943253e+003	(7.45439828925946e+001dB,3.30390646035794e+001°)
1.10027184529574e+003	(7.45469547325371e+001dB,3.30089055006317e+001°)
1.10153930954142e+003	(7.45499217654161e+001dB,3.29787604755597e+001°)
1.10280823384956e+003	(7.45528839957299e+001dB,3.29486295550813e+001°)
1.10407861990208e+003	(7.45558414279838e+001dB,3.29185127658400e+001°)
1.10535046938285e+003	(7.45587940666882e+001dB,3.28884101344039e+001°)
1.10662378397767e+003	(7.45617419163612e+001dB,3.28583216872662e+001°)
1.10789856537430e+003	(7.45646849815256e+001dB,3.28282474508448e+001°)
1.10917481526241e+003	(7.45676232667125e+001dB,3.27981874514827e+001°)
1.11045253533365e+003	(7.45705567764574e+001dB,3.27681417154472e+001°)
1.11173172728160e+003	(7.45734855153029e+001dB,3.27381102689308e+001°)
1.11301239280180e+003	(7.45764094877978e+001dB,3.27080931380503e+001°)
1.11429453359174e+003	(7.45793286984963e+001dB,3.26780903488472e+001°)
1.11557815135086e+003	(7.45822431519593e+001dB,3.26481019272878e+001°)
1.11686324778057e+003	(7.45851528527539e+001dB,3.26181278992625e+001°)
1.11814982458423e+003	(7.45880578054524e+001dB,3.25881682905866e+001°)
1.11943788346716e+003	(7.45909580146341e+001dB,3.25582231269995e+001°)
1.12072742613665e+003	(7.45938534848831e+001dB,3.25282924341653e+001°)
1.12201845430197e+003	(7.45967442207905e+001dB,3.24983762376720e+001°)
1.12331096967433e+003	(7.45996302269526e+001dB,3.24684745630325e+001°)
1.12460497396693e+003	(7.46025115079719e+001dB,3.24385874356833e+001°)
1.12590046889495e+003	(7.46053880684562e+001dB,3.24087148809857e+001°)
1.12719745617552e+003	(7.46082599130195e+001dB,3.23788569242249e+001°)
1.12849593752777e+003	(7.46111270462812e+001dB,3.23490135906102e+001°)
1.12979591467281e+003	(7.46139894728670e+001dB,3.23191849052752e+001°)
1.13109738933371e+003	(7.46168471974072e+001dB,3.22893708932774e+001°)
1.13240036323556e+003	(7.46197002245389e+001dB,3.22595715795984e+001°)
1.13370483810542e+003	(7.46225485589039e+001dB,3.22297869891439e+001°)
1.13501081567232e+003	(7.46253922051501e+001dB,3.22000171467434e+001°)
1.13631829766732e+003	(7.46282311679302e+001dB,3.21702620771504e+001°)
1.13762728582344e+003	(7.46310654519031e+001dB,3.21405218050423e+001°)
1.13893778187572e+003	(7.46338950617330e+001dB,3.21107963550204e+001°)
1.14024978756118e+003	(7.46367200020894e+001dB,3.20810857516098e+001°)
1.14156330461885e+003	(7.46395402776467e+001dB,3.20513900192594e+001°)
1.14287833478978e+003	(7.46423558930857e+001dB,3.20217091823420e+001°)
1.14419487981699e+003	(7.46451668530913e+001dB,3.19920432651538e+001°)
1.14551294144554e+003	(7.46479731623545e+001dB,3.19623922919152e+001°)
1.14683252142249e+003	(7.46507748255712e+001dB,3.19327562867700e+001°)
1.14815362149689e+003	(7.46535718474427e+001dB,3.19031352737857e+001°)
1.14947624341984e+003	(7.46563642326749e+001dB,3.18735292769535e+001°)
1.15080038894444e+003	(7.46591519859798e+001dB,3.18439383201882e+001°)
