Freq.	-I(R)/I(Rl)
1.00000000000000e+000	(8.74787525645517e+001dB,-8.99639917552185e+001°)
1.00046062307284e+000	(8.74747525661325e+001dB,-8.99639751711245e+001°)
1.00092145831930e+000	(8.74707525677146e+001dB,-8.99639585751494e+001°)
1.00138250583710e+000	(8.74667525692970e+001dB,-8.99639419753815e+001°)
1.00184376572403e+000	(8.74627525708821e+001dB,-8.99639253637256e+001°)
1.00230523807790e+000	(8.74587525724686e+001dB,-8.99639087482625e+001°)
1.00276692299659e+000	(8.74547525740566e+001dB,-8.99638921249430e+001°)
1.00322882057800e+000	(8.74507525756461e+001dB,-8.99638754917435e+001°)
1.00369093092010e+000	(8.74467525772370e+001dB,-8.99638588526961e+001°)
1.00415325412088e+000	(8.74427525788281e+001dB,-8.99638422037601e+001°)
1.00461579027840e+000	(8.74387525804220e+001dB,-8.99638255489637e+001°)
1.00507853949074e+000	(8.74347525820173e+001dB,-8.99638088862844e+001°)
1.00554150185604e+000	(8.74307525836141e+001dB,-8.99637922197443e+001°)
1.00600467747250e+000	(8.74267525852123e+001dB,-8.99637755372560e+001°)
1.00646806643833e+000	(8.74227525868121e+001dB,-8.99637588529081e+001°)
1.00693166885180e+000	(8.74187525884121e+001dB,-8.99637421606542e+001°)
1.00739548481125e+000	(8.74147525900147e+001dB,-8.99637254564692e+001°)
1.00785951441503e+000	(8.74107525916189e+001dB,-8.99637087483895e+001°)
1.00832375776155e+000	(8.74067525932245e+001dB,-8.99636920303799e+001°)
1.00878821494927e+000	(8.74027525948317e+001dB,-8.99636753104665e+001°)
1.00925288607668e+000	(8.73987525964402e+001dB,-8.99636585745921e+001°)
1.00971777124234e+000	(8.73947525980491e+001dB,-8.99636418367996e+001°)
1.01018287054483e+000	(8.73907525996606e+001dB,-8.99636250890580e+001°)
1.01064818408279e+000	(8.73867526012736e+001dB,-8.99636083313646e+001°)
1.01111371195491e+000	(8.73827526028881e+001dB,-8.99635915717271e+001°)
1.01157945425990e+000	(8.73787526045042e+001dB,-8.99635748001239e+001°)
1.01204541109654e+000	(8.73747526061217e+001dB,-8.99635580205566e+001°)
1.01251158256366e+000	(8.73707526077394e+001dB,-8.99635412370194e+001°)
1.01297796876010e+000	(8.73667526093599e+001dB,-8.99635244415061e+001°)
1.01344456978479e+000	(8.73627526109818e+001dB,-8.99635076420086e+001°)
1.01391138573668e+000	(8.73587526126053e+001dB,-8.99634908305282e+001°)
1.01437841671477e+000	(8.73547526142303e+001dB,-8.99634740130532e+001°)
1.01484566281810e+000	(8.73507526158568e+001dB,-8.99634571895758e+001°)
1.01531312414576e+000	(8.73467526174834e+001dB,-8.99634403560992e+001°)
1.01578080079690e+000	(8.73427526191128e+001dB,-8.99634235166077e+001°)
1.01624869287070e+000	(8.73387526207438e+001dB,-8.99634066671084e+001°)
1.01671680046638e+000	(8.73347526223763e+001dB,-8.99633898115817e+001°)
1.01718512368322e+000	(8.73307526240103e+001dB,-8.99633729500196e+001°)
1.01765366262053e+000	(8.73267526256457e+001dB,-8.99633560784347e+001°)
1.01812241737770e+000	(8.73227526272814e+001dB,-8.99633391988132e+001°)
1.01859138805412e+000	(8.73187526289198e+001dB,-8.99633223131377e+001°)
1.01906057474925e+000	(8.73147526305599e+001dB,-8.99633054194132e+001°)
1.01952997756260e+000	(8.73107526322014e+001dB,-8.99632885136624e+001°)
1.01999959659372e+000	(8.73067526338444e+001dB,-8.99632716058111e+001°)
1.02046943194220e+000	(8.73027526354889e+001dB,-8.99632546859246e+001°)
1.02093948370768e+000	(8.72987526371362e+001dB,-8.99632377619364e+001°)
1.02140975198985e+000	(8.72947526387825e+001dB,-8.99632208298710e+001°)
1.02188023688844e+000	(8.72907526404316e+001dB,-8.99632038837787e+001°)
1.02235093850323e+000	(8.72867526420822e+001dB,-8.99631869355456e+001°)
1.02282185693405e+000	(8.72827526437343e+001dB,-8.99631699831787e+001°)
1.02329299228076e+000	(8.72787526453879e+001dB,-8.99631530187523e+001°)
1.02376434464328e+000	(8.72747526470431e+001dB,-8.99631360462221e+001°)
1.02423591412157e+000	(8.72707526486997e+001dB,-8.99631190636062e+001°)
1.02470770081565e+000	(8.72667526503567e+001dB,-8.99631020748538e+001°)
1.02517970482556e+000	(8.72627526520164e+001dB,-8.99630850799568e+001°)
1.02565192625141e+000	(8.72587526536776e+001dB,-8.99630680749591e+001°)
1.02612436519334e+000	(8.72547526553404e+001dB,-8.99630510657777e+001°)
1.02659702175156e+000	(8.72507526570047e+001dB,-8.99630340445126e+001°)
1.02706989602628e+000	(8.72467526586706e+001dB,-8.99630170151068e+001°)
1.02754298811781e+000	(8.72427526603380e+001dB,-8.99629999814961e+001°)
1.02801629812647e+000	(8.72387526620055e+001dB,-8.99629829377608e+001°)
1.02848982615265e+000	(8.72347526636760e+001dB,-8.99629658878358e+001°)
1.02896357229676e+000	(8.72307526653480e+001dB,-8.99629488297454e+001°)
1.02943753665927e+000	(8.72267526670216e+001dB,-8.99629317615172e+001°)
1.02991171934070e+000	(8.72227526686966e+001dB,-8.99629146870809e+001°)
1.03038612044162e+000	(8.72187526703732e+001dB,-8.99628976064283e+001°)
1.03086074006263e+000	(8.72147526720514e+001dB,-8.99628805156230e+001°)
1.03133557830439e+000	(8.72107526737311e+001dB,-8.99628634166258e+001°)
1.03181063526759e+000	(8.72067526754111e+001dB,-8.99628463133562e+001°)
1.03228591105300e+000	(8.72027526770939e+001dB,-8.99628291959960e+001°)
1.03276140576140e+000	(8.71987526787782e+001dB,-8.99628120743510e+001°)
