Freq.	V(vout)/V(vin)
1.00000000000000e+000	(-1.51497287501623e+002dB,1.79961381246509e+002°)
1.02329299228075e+000	(-1.51097287582879e+002dB,1.79960481700411e+002°)
1.04712854805090e+000	(-1.50697287667964e+002dB,1.79959561201208e+002°)
1.07151930523761e+000	(-1.50297287757059e+002dB,1.79958619260843e+002°)
1.09647819614318e+000	(-1.49897287850353e+002dB,1.79957655379886e+002°)
1.12201845430196e+000	(-1.49497287948044e+002dB,1.79956669047278e+002°)
1.14815362149688e+000	(-1.49097288050339e+002dB,1.79955659740054e+002°)
1.17489755493953e+000	(-1.48697288157455e+002dB,1.79954626923068e+002°)
1.20226443461741e+000	(-1.48297288269619e+002dB,1.79953570048708e+002°)
1.23026877081238e+000	(-1.47897288387069e+002dB,1.79952488556608e+002°)
1.25892541179417e+000	(-1.47497288510055e+002dB,1.79951381873350e+002°)
1.28824955169313e+000	(-1.47097288638837e+002dB,1.79950249412157e+002°)
1.31825673855641e+000	(-1.46697288773688e+002dB,1.79949090572587e+002°)
1.34896288259165e+000	(-1.46297288914894e+002dB,1.79947904740212e+002°)
1.38038426460288e+000	(-1.45897289062755e+002dB,1.79946691286289e+002°)
1.41253754462275e+000	(-1.45497289217585e+002dB,1.79945449567433e+002°)
1.44543977074593e+000	(-1.45097289379711e+002dB,1.79944178925273e+002°)
1.47910838816821e+000	(-1.44697289549478e+002dB,1.79942878686101e+002°)
1.51356124843621e+000	(-1.44297289727246e+002dB,1.79941548160517e+002°)
1.54881661891248e+000	(-1.43897289913392e+002dB,1.79940186643064e+002°)
1.58489319246111e+000	(-1.43497290108311e+002dB,1.79938793411852e+002°)
1.62181009735893e+000	(-1.43097290312416e+002dB,1.79937367728177e+002°)
1.65958690743756e+000	(-1.42697290526141e+002dB,1.79935908836129e+002°)
1.69824365246174e+000	(-1.42297290749937e+002dB,1.79934415962189e+002°)
1.73780082874937e+000	(-1.41897290984281e+002dB,1.79932888314822e+002°)
1.77827941003892e+000	(-1.41497291229670e+002dB,1.79931325084057e+002°)
1.81970085860998e+000	(-1.41097291486623e+002dB,1.79929725441056e+002°)
1.86208713666287e+000	(-1.40697291755685e+002dB,1.79928088537675e+002°)
1.90546071796325e+000	(-1.40297292037429e+002dB,1.79926413506015e+002°)
1.94984459975804e+000	(-1.39897292332450e+002dB,1.79924699457960e+002°)
